hero_code,hero_name,role,lane,damage_type,fitness_score,ga_profile,item_1,item_2,item_3,item_4,item_5,item_6,total_cost,final_p_atk,final_m_power,final_hp,final_cdr,time_ms,error
airi,airi,Fighter,Dark Slayer,Physical,406.92,expert,Holy of Holies,Hecate's Diadem,Muramasa,Staff of Nuul,Arctic Orbs,Boomstick,13460.0,480.0,1260.0,7743.0,20.0,232.11,
airi,airi,Fighter,Farm,Physical,406.92,expert,Arctic Orbs,Staff of Nuul,Boomstick,Holy of Holies,Muramasa,Hecate's Diadem,13460.0,480.0,1260.0,7743.0,20.0,232.05,
airi,airi,Assassin,Dark Slayer,Physical,406.92,expert,Arctic Orbs,Hecate's Diadem,Boomstick,Muramasa,Holy of Holies,Staff of Nuul,13460.0,480.0,1260.0,7743.0,20.0,227.53,
airi,airi,Assassin,Farm,Physical,406.92,expert,Boomstick,Holy of Holies,Arctic Orbs,Staff of Nuul,Muramasa,Hecate's Diadem,13460.0,480.0,1260.0,7743.0,20.0,225.02,
aleister,aleister,Mage,Mid,Magic,396.02,expert,Staff of Nuul,Arctic Orbs,Boomstick,Muramasa,Holy of Holies,Hecate's Diadem,13460.0,414.0,1260.0,7059.0,20.0,233.17,
alice,alice,Support,Support,Magic,394.21,expert,Muramasa,Boomstick,Staff of Nuul,Holy of Holies,Arctic Orbs,Hecate's Diadem,13460.0,398.0,1260.0,7408.0,20.0,231.52,
allain,allain,Fighter,Dark Slayer,Physical,408.32,expert,Staff of Nuul,Hecate's Diadem,Arctic Orbs,Boomstick,Muramasa,Holy of Holies,13460.0,498.0,1260.0,6958.0,20.0,234.03,
allain,allain,Fighter,Farm,Physical,408.31,expert,Staff of Nuul,Fenrir's Tooth,Muramasa,Hecate's Diadem,Holy of Holies,Arctic Orbs,14610.0,698.0,1060.0,6958.0,20.0,242.03,
amily,amily,Fighter,Dark Slayer,Physical,331.29,expert,Holy of Holies,Boomstick,Muramasa,Hecate's Diadem,Arctic Orbs,Staff of Nuul,13460.0,75.0,1260.0,0.0,20.0,224.54,
annette,annette,Mage,Support,Magic,331.29,expert,Muramasa,Boomstick,Staff of Nuul,Holy of Holies,Hecate's Diadem,Arctic Orbs,13460.0,75.0,1260.0,0.0,20.0,222.54,
annette,annette,Mage,Mid,Magic,331.29,expert,Staff of Nuul,Hecate's Diadem,Boomstick,Arctic Orbs,Holy of Holies,Muramasa,13460.0,75.0,1260.0,0.0,20.0,225.01,
annette,annette,Support,Support,Magic,331.29,expert,Arctic Orbs,Holy of Holies,Hecate's Diadem,Muramasa,Boomstick,Staff of Nuul,13460.0,75.0,1260.0,0.0,20.0,230.03,
annette,annette,Support,Mid,Magic,331.29,expert,Hecate's Diadem,Arctic Orbs,Staff of Nuul,Muramasa,Holy of Holies,Boomstick,13460.0,75.0,1260.0,0.0,20.0,228.54,
aoi,aoi,Assassin,Farm,Physical,403.27,expert,Holy of Holies,Muramasa,Arctic Orbs,Hecate's Diadem,Staff of Nuul,Boomstick,13460.0,459.0,1260.0,7560.0,20.0,232.55,
aoi,aoi,Assassin,Dark Slayer,Physical,403.27,expert,Holy of Holies,Staff of Nuul,Hecate's Diadem,Boomstick,Arctic Orbs,Muramasa,13460.0,459.0,1260.0,7560.0,20.0,234.96,
arduin,arduin,Fighter,Dark Slayer,Physical,395.67,expert,Staff of Nuul,Arctic Orbs,Muramasa,Hecate's Diadem,Boomstick,Holy of Holies,13460.0,396.0,1260.0,8610.0,20.0,217.54,
arduin,arduin,Fighter,Support,Physical,395.67,expert,Holy of Holies,Muramasa,Boomstick,Arctic Orbs,Staff of Nuul,Hecate's Diadem,13460.0,396.0,1260.0,8610.0,20.0,227.81,
arduin,arduin,Tank,Dark Slayer,Physical,395.67,expert,Holy of Holies,Staff of Nuul,Boomstick,Muramasa,Arctic Orbs,Hecate's Diadem,13460.0,396.0,1260.0,8610.0,20.0,235.46,
arduin,arduin,Tank,Support,Physical,395.67,expert,Staff of Nuul,Hecate's Diadem,Holy of Holies,Arctic Orbs,Boomstick,Muramasa,13460.0,396.0,1260.0,8610.0,20.0,234.55,
arum,arum,Tank,Support,Physical,331.29,expert,Holy of Holies,Staff of Nuul,Boomstick,Arctic Orbs,Hecate's Diadem,Muramasa,13460.0,75.0,1260.0,0.0,20.0,222.02,
arum,arum,Support,Support,Physical,331.29,expert,Muramasa,Hecate's Diadem,Holy of Holies,Arctic Orbs,Staff of Nuul,Boomstick,13460.0,75.0,1260.0,0.0,20.0,216.03,
astrid,astrid,Fighter,Dark Slayer,Physical,407.86,expert,Staff of Nuul,Muramasa,Hecate's Diadem,Arctic Orbs,Holy of Holies,Boomstick,13460.0,483.0,1260.0,8080.0,20.0,216.03,
astrid,astrid,Fighter,Farm,Physical,407.86,expert,Holy of Holies,Muramasa,Boomstick,Arctic Orbs,Hecate's Diadem,Staff of Nuul,13460.0,483.0,1260.0,8080.0,20.0,223.09,
astrid,astrid,Assassin,Dark Slayer,Physical,407.86,expert,Holy of Holies,Staff of Nuul,Arctic Orbs,Boomstick,Hecate's Diadem,Muramasa,13460.0,483.0,1260.0,8080.0,20.0,229.54,
