POP_SIZE,MAX_GEN,CROSSOVER_RATE,BASE_MUT_RATE,STAGNANT_LIMIT,avg_fitness,std_fitness
10,10,0.4,0.01,5,42.04444313147508,0.04317075391339035
10,10,0.4,0.01,10,42.0200220652022,0.03453660313071429
10,10,0.4,0.01,20,42.077697454385195,0.043372048366914294
10,10,0.4,0.01,30,42.11084597168149,0.3047344976756549
10,10,0.4,0.01,40,42.14763743073426,0.022050124639868097
10,10,0.4,0.01,50,42.018700534680015,0.19646384214701412
10,10,0.4,0.05,5,42.15950802639932,0.08168280486093397
10,10,0.4,0.05,10,42.212948488757924,0.10706346970521395
10,10,0.4,0.05,20,42.068268965347414,0.06869550335770845
10,10,0.4,0.05,30,42.054211557984225,0.04941872941525078
10,10,0.4,0.05,40,42.13602212999837,0.14754043324968166
10,10,0.4,0.05,50,42.029790491711346,0.05361522604165909
10,10,0.4,0.1,5,42.142127396566586,0.10360980939214286
10,10,0.4,0.1,10,42.09405798532139,0.021218030187332555
10,10,0.4,0.1,20,42.136022129998366,0.11421907876600565
10,10,0.4,0.1,30,42.18597692131604,0.07313971412531459
10,10,0.4,0.1,40,42.233706395089875,0.10468351485066518
10,10,0.4,0.1,50,42.08107473088439,0.03453660313071094
10,10,0.4,0.15,5,42.18486426254412,0.08236454902541832
10,10,0.4,0.15,10,42.17265372940768,0.14754043324967972
10,10,0.4,0.15,20,42.190969529112344,0.07067357004176181
10,10,0.4,0.15,30,42.24591692822631,0.08762706005005526
10,10,0.4,0.15,40,42.160443196271245,0.09339262010110469
10,10,0.4,0.15,50,42.13201111525289,0.051000670361548664
10,10,0.4,0.2,5,42.164106356212166,0.1171065884116103
10,10,0.4,0.2,10,42.09694842396177,0.02244879203496649
10,10,0.4,0.2,20,42.24591692822631,0.15128254307610556
10,10,0.4,0.2,30,42.19707479568056,0.07477393917905081
10,10,0.4,0.2,40,42.26423272793097,0.10609822109932601
10,10,0.4,0.2,50,42.29842222071299,0.14472443934593462
10,10,0.4,0.25,5,42.28976645297576,0.10440547161432853
10,10,0.4,0.25,10,42.1396852899393,0.1226414180150599
10,10,0.4,0.25,20,42.09879529818851,0.022699788907319527
10,10,0.4,0.25,30,42.19096952911234,0.16808897685664134
10,10,0.4,0.25,40,42.29231695414477,0.0940131758985988
10,10,0.4,0.25,50,42.10549579715727,0.025902452348034878
10,10,0.4,0.3,5,42.16766112161138,0.08556559136035796
10,10,0.4,0.3,10,42.25812746136274,0.10818559922129348
10,10,0.4,0.3,20,42.22760112852165,0.15565436683517309
10,10,0.4,0.3,30,42.18486426254412,0.09957388435306132
10,10,0.4,0.3,40,42.178758995975905,0.07770735704410464
10,10,0.4,0.3,50,42.31918012704494,0.08634150782678404
10,10,0.4,0.35,5,42.27400115444011,0.09955890971062052
10,10,0.4,0.35,10,42.33139066018138,0.03113087336703257
10,10,0.4,0.35,20,42.172058497007136,0.10940942014630442
10,10,0.4,0.35,30,42.154337929703026,0.096145834062198
10,10,0.4,0.35,40,42.11526422366642,0.007527078145001198
10,10,0.4,0.35,50,42.209285328816996,0.12893536683772971
10,10,0.4,0.4,5,42.21539059538522,0.09339262010110329
10,10,0.4,0.4,10,42.21650325415714,0.128809793630889
10,10,0.4,0.4,20,42.37168541953162,0.06730208384353598
10,10,0.4,0.4,30,42.31918012704494,0.02284381575319961
10,10,0.4,0.4,40,42.190969529112344,0.07067357004176181
10,10,0.4,0.4,50,42.233706395089875,0.07770735704410464
10,10,0.4,0.45,5,42.26179062130368,0.10974545690494905
10,10,0.4,0.45,10,42.36191699302247,0.0518049046960731
10,10,0.4,0.45,20,42.136022129998366,0.06907320626142523
10,10,0.4,0.45,30,42.160443196271245,0.09806510187730062
10,10,0.4,0.45,40,42.13542689759782,0.023640834294524196
10,10,0.4,0.45,50,42.18486426254412,0.02284381575320341
10,10,0.4,0.5,5,42.20318006224878,0.11323582593393519
10,10,0.4,0.5,10,42.10050318936098,0.021363172826880425
