HeroID,Class,Lane,Item1,Item2,Item3,Item4,Item5,Item6,TrueScore,NoisyScore,CombatPower
H001,Warrior,Mid,I015,I004,I095,I036,I032,I029,81.04,83.05,83.05
H001,Warrior,Mid,I095,I014,I087,I070,,,115.23,114.44,114.44
H001,Warrior,Mid,I076,I055,I005,I004,,,98.33,101.51,101.51
H001,Warrior,Mid,I028,I030,I065,I078,,,167.6,180.36,180.36
H001,Warrior,Mid,I072,I026,I092,I084,,,92.18,91.1,91.1
H001,Warrior,Mid,I070,I054,I029,I058,I076,I036,146.56,144.84,144.84
H001,Warrior,Mid,I098,I104,I021,I090,,,82.19,88.68,88.68
H001,Warrior,Mid,I044,I036,I020,I028,I098,,101.38,105.26,105.26
H001,Warrior,Mid,I014,I012,I049,I013,I046,,97.16,94.88,94.88
H001,Warrior,Mid,I078,I034,I104,I006,I094,,139.82,143.62,143.62
H001,Warrior,Mid,I069,I016,I049,I011,I071,,137.09,133.92,133.92
H001,Warrior,Mid,I107,I081,I080,I047,I074,,113.09,110.45,110.45
H001,Warrior,Mid,I091,I009,I006,I085,,,89.73,90.81,90.81
H001,Warrior,Mid,I099,I038,I011,I030,,,71.9,65.02,65.02
H001,Warrior,Mid,I049,I036,I059,I082,,,79.62,72.75,72.75
H001,Warrior,Mid,I021,I048,I046,I027,I086,,85.4,82.99,82.99
H001,Warrior,Mid,I090,I088,I083,I010,I078,,138.92,131.88,131.88
H001,Warrior,Mid,I022,I069,I094,I032,I021,I060,135.98,138.12,138.12
H001,Warrior,Mid,I035,I082,I089,I072,I029,,94.17,89.89,89.89
H001,Warrior,Mid,I042,I108,I099,I100,I008,I030,80.96,75.24,75.24
H001,Warrior,Mid,I104,I041,I052,I035,,,85.0,91.23,91.23
H001,Warrior,Mid,I028,I073,I092,I041,,,121.63,120.26,120.26
H001,Warrior,Mid,I084,I064,I051,I083,,,111.35,111.73,111.73
H001,Warrior,Mid,I019,I034,I018,I032,I096,,86.7,80.53,80.53
H001,Warrior,Mid,I069,I034,I096,I075,I055,I052,120.05,116.78,116.78
H001,Warrior,Mid,I029,I018,I066,I064,I012,,134.81,135.56,135.56
H001,Warrior,Mid,I015,I020,I081,I021,,,107.13,100.96,100.96
H001,Warrior,Mid,I055,I077,I009,I050,I049,I060,111.94,114.04,114.04
H001,Warrior,Mid,I033,I071,I002,I088,I093,I015,98.93,95.96,95.96
H001,Warrior,Mid,I069,I097,I035,I099,I083,I044,112.0,110.37,110.37
H001,Warrior,Mid,I038,I056,I021,I059,,,94.69,91.84,91.84
H001,Warrior,Mid,I093,I034,I065,I098,,,92.45,101.01,101.01
H001,Warrior,Mid,I065,I014,I081,I039,,,104.91,104.84,104.84
H001,Warrior,Mid,I065,I078,I026,I020,I048,I098,168.92,159.99,159.99
H001,Warrior,Mid,I070,I100,I068,I001,,,115.42,120.17,120.17
H001,Warrior,Mid,I042,I063,I003,I015,I047,I107,92.73,87.07,87.07
H001,Warrior,Mid,I031,I008,I073,I011,I094,,98.41,99.44,99.44
H001,Warrior,Mid,I105,I009,I098,I069,I099,,105.56,95.21,95.21
