Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,188,3543,137,0.00,0.00,61,0,0.00,27,150,80,0.00,380,0,0.00,0.00,0.00
2,203,3843,159,0.03,0.00,62,0,0.00,30,150,93,0.00,380,0,0.00,0.00,0.00
3,219,4143,181,0.06,0.00,64,0,0.33,33,150,107,0.00,380,0,0.00,0.00,0.00
4,235,4443,203,0.09,0.00,66,0,0.00,36,150,120,0.00,380,0,0.00,0.00,0.00
5,250,4743,225,0.12,0.00,67,0,0.00,39,150,133,0.00,380,0,0.00,0.00,0.00
6,266,5043,247,0.15,0.00,69,0,0.00,42,150,147,0.00,380,0,0.00,0.00,0.00
7,281,5343,269,0.18,0.00,70,0,0.00,45,150,160,0.00,380,0,0.00,0.00,0.00
8,297,5643,291,0.21,0.00,72,0,0.00,48,150,174,0.00,380,0,0.00,0.00,0.00
9,312,5943,313,0.24,0.00,73,0,0.00,51,150,187,0.00,380,0,0.00,0.00,0.00
10,328,6243,335,0.27,0.00,75,0,0.00,54,150,201,0.00,380,0,0.00,0.00,0.00
11,343,6543,357,0.30,0.00,76,0,0.00,57,150,214,0.00,380,0,0.00,0.00,0.00
12,359,6843,379,0.33,0.00,78,0,0.00,60,150,228,0.00,380,0,0.00,0.00,0.00
13,374,7143,401,0.36,0.00,79,0,0.00,63,150,241,0.00,380,0,0.00,0.00,0.00
14,390,7443,423,0.39,0.00,81,0,0.00,66,150,255,0.00,380,0,0.00,0.00,0.00
15,405,7743,445,0.42,0.00,82,0,0.00,69,150,268,0.00,380,0,0.00,0.00,0.00
