Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,188,3377,133,0.00,0.00,53,0,0.00,27,490,80,0.00,350,18,0.00,0.00,0.00
2,198,3640,153,0.01,0.00,55,0,0.00,30,590,93,0.00,350,19,0.00,0.00,0.00
3,209,3903,173,0.02,0.00,57,0,0.00,33,704,107,0.00,350,21,0.00,0.00,0.00
4,220,4166,193,0.03,0.00,59,0,0.00,36,809,120,0.00,350,23,0.00,0.00,0.00
5,231,4429,213,0.04,0.00,61,0,0.00,39,916,134,0.00,350,25,0.00,0.00,0.00
6,242,4692,233,0.05,0.00,63,0,0.00,42,1023,147,0.00,350,27,0.00,0.00,0.00
7,253,4955,253,0.06,0.00,65,0,0.00,45,1130,161,0.00,350,29,0.00,0.00,0.00
8,264,5218,273,0.07,0.00,67,0,0.00,48,1237,174,0.00,350,30,0.00,0.00,0.00
9,274,5481,293,0.08,0.00,69,0,0.00,51,1344,188,0.00,350,32,0.00,0.00,0.00
10,285,5744,313,0.09,0.00,71,0,0.00,54,1451,201,0.00,350,34,0.00,0.00,0.00
11,296,6007,333,0.10,0.00,73,0,0.00,57,1558,215,0.00,350,36,0.00,0.00,0.00
12,307,6270,353,0.11,0.00,75,0,0.00,60,1665,228,0.00,350,38,0.00,0.00,0.00
13,318,6533,373,0.12,0.00,77,0,0.00,63,1772,242,0.00,350,40,0.00,0.00,0.00
14,328,6796,393,0.13,0.00,79,0,0.00,66,1879,255,0.00,350,42,0.00,0.00,0.00
15,339,7059,413,0.14,0.00,81,0,0.00,69,1986,269,0.00,350,43,0.00,0.00,0.00
