Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,176,3558,144,0.00,0.00,55,0,0.00,0,470,80,0.00,350,17,0.00,0.00,0.00
2,186,3833,165,0.01,0.00,57,0,0.00,0,574,93,0.00,350,18,0.00,0.00,0.00
3,197,4108,186,0.02,0.00,60,0,0.00,0,678,107,0.00,350,20,0.00,0.00,0.00
4,208,4383,207,0.03,0.00,63,0,0.00,0,782,120,0.00,350,22,0.00,0.00,0.00
5,218,4658,228,0.04,0.00,65.5,0,0.00,0,886,134,0.00,350,24,0.00,0.00,0.00
6,229,4933,249,0.05,0.00,68.2,0,0.00,0,990,147,0.00,350,25,0.00,0.00,0.00
7,239,5208,270,0.06,0.00,70.9,0,0.00,0,1094,160,0.00,350,27,0.00,0.00,0.00
8,250,5483,291,0.07,0.00,73.6,0,0.00,0,1198,174,0.00,350,29,0.00,0.00,0.00
9,260,5758,312,0.08,0.00,76.3,0,0.00,0,1302,187,0.00,350,30,0.00,0.00,0.00
10,271,6033,333,0.09,0.00,79,0,0.00,0,1406,201,0.00,350,32,0.00,0.00,0.00
11,281,6308,354,0.10,0.00,81.7,0,0.00,0,1510,214,0.00,350,34,0.00,0.00,0.00
12,292,6583,375,0.11,0.00,84.4,0,0.00,0,1614,227,0.00,350,35,0.00,0.00,0.00
13,302,6858,396,0.12,0.00,87.1,0,0.00,0,1718,241,0.00,350,37,0.00,0.00,0.00
14,313,7133,417,0.13,0.00,89.8,0,0.00,0,1822,254,0.00,350,39,0.00,0.00,0.00
15,323,7408,438,0.14,0.00,92.5,0,0.00,0,1926,268,0.00,350,41,0.00,0.00,0.00
