Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,177,3379,134,0.00,0.00,47,18,0.00,12,100,80,0.00,350,0,18,0.00,0.00
2,194,3634,152,0.00,0.00,49,21,0.00,12,100,93,0.00,350,0,21,0.00,0.00
3,212,3890,171,0.00,0.00,51,24,0.00,12,100,107,0.00,350,0,24,0.00,0.00
4,229,4146,189,0.00,0.00,53,27,0.00,12,100,120,0.00,350,0,27,0.00,0.00
5,247,4401,208,0.00,0.00,55,30,0.00,12,100,133.5,0.00,350,0,30,0.00,0.00
6,265,4657,227,0.00,0.00,57,33,0.00,12,100,146.9,0.00,350,0,33,0.00,0.00
7,282,4912,245,0.00,0.00,59,36,0.00,12,100,160.3,0.00,350,0,36,0.00,0.00
8,299,5168,263,0.00,0.00,61,39,0.00,12,100,173.7,0.00,350,0,39,0.00,0.00
9,317,5424,282,0.00,0.00,63,42,0.00,12,100,187.1,0.00,350,0,42,0.00,0.00
10,335,5680,301,0.00,0.00,65,45,0.00,12,100,200.5,0.00,350,0,45,0.00,0.00
11,352,5935,319,0.00,0.00,67,48,0.00,12,100,213.9,0.00,350,0,48,0.00,0.00
12,370,6191,338,0.00,0.00,69,51,0.00,12,100,227.3,0.00,350,0,51,0.00,0.00
13,387,6447,356,0.00,0.00,71,54,0.00,12,100,240.7,0.00,350,0,54,0.00,0.00
14,405,6702,375,0.00,0.00,73,57,0.00,12,100,254.1,0.00,350,0,57,0.00,0.00
15,423,6958,394,0.00,0.00,75,60,0.00,12,100,267.5,0.00,350,0,60,0.00,0.00
