Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,194,3725,153,0.00,0.00,54,0,0.00,27,440,80,0.00,380,16,0.00,0.00,0.00
2,206,4027,176,0.02,0.00,56,0,0.00,30,536,93,0.00,380,17,0.00,0.00,0.00
3,219,4330,200,0.04,0.00,59,0,0.00,33,632,107,0.00,380,19,0.00,0.00,0.00
4,232,4632,223,0.00,0.00,62,0,0.00,36,728,120,0.00,380,20,0.00,0.00,0.00
5,244,4934,246,0.00,0.00,64,0,0.00,39,824,134,0.00,380,22,0.00,0.00,0.00
6,257,5237,270,0.00,0.00,67,0,0.00,42,920,147,0.00,380,24,0.00,0.00,0.00
7,269,5539,293,0.00,0.00,69,0,0.00,45,1016,161,0.00,380,25,0.00,0.00,0.00
8,282,5842,317,0.00,0.00,72,0,0.00,48,1112,174,0.00,380,27,0.00,0.00,0.00
9,294,6144,340,0.00,0.00,74,0,0.00,51,1208,188,0.00,380,28,0.00,0.00,0.00
10,307,6447,364,0.00,0.00,77,0,0.00,54,1304,201,0.00,380,30,0.00,0.00,0.00
11,319,6749,387,0.00,0.00,79,0,0.00,57,1400,215,0.00,380,32,0.00,0.00,0.00
12,332,7052,411,0.00,0.00,82,0,0.00,60,1496,228,0.00,380,33,0.00,0.00,0.00
13,344,7354,434,0.00,0.00,84,0,0.00,63,1592,242,0.00,380,35,0.00,0.00,0.00
14,357,7657,458,0.00,0.00,87,0,0.00,66,1688,255,0.00,380,36,0.00,0.00,0.00
15,369,7959,481,0.00,0.00,89,0,0.00,69,1784,269,0.00,380,38,0.00,0.00,0.00
