Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,160,3555,140,0.00,0.00,60,0,0.00,0,420,80,0.00,360,15,0,0.00,0.00
2,168,3810,160,0.01,0.00,62,0,0.00,0,525,93,0.00,360,16,0,0.00,0.00
3,177,4066,180,0.02,0.00,65,0,0.00,0,620,107,0.00,360,18,0,0.00,0.00
4,186,4322,200,0.03,0.00,68,0,0.00,0,715,120,0.00,360,19,0,0.00,0.00
5,195,4578,220,0.04,0.00,71,0,0.00,0,810,134,0.00,360,22,0,0.00,0.00
6,204,4834,240,0.05,0.00,74,0,0.00,0,909,147,0.00,360,23,0,0.00,0.00
7,213,5090,260,0.06,0.00,77,0,0.00,0,1006,160,0.00,360,24,0,0.00,0.00
8,222,5346,280,0.07,0.00,80,0,0.00,0,1103,174,0.00,360,26,0,0.00,0.00
9,230,5601,300,0.08,0.00,82,0,0.00,0,1200,187,0.00,360,28,0,0.00,0.00
10,239,5857,320,0.09,0.00,85,0,0.00,0,1297,201,0.00,360,29,0,0.00,0.00
11,248,6113,340,0.10,0.00,88,0,0.00,0,1394,214,0.00,360,31,0,0.00,0.00
12,257,6369,360,0.11,0.00,91,0,0.00,0,1491,228,0.00,360,33,0,0.00,0.00
13,266,6625,380,0.12,0.00,94,0,0.00,0,1588,241,0.00,360,35,0,0.00,0.00
14,274,6880,400,0.13,0.00,96,0,0.00,0,1685,255,0.00,360,36,0,0.00,0.00
15,283,7136,420,0.14,0.00,99,0,0.00,0,1782,268,0.00,360,38,0,0.00,0.00
