Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,172,3360,133,0.60,0.00,55,0,0.00,0,0,80,0.00,380,0,0,0.00,0.00
2,187,3660,153,0.62,0.00,57,0,0.00,0,0,93,0.00,380,0,0,0.00,0.00
3,202,3960,173,0.64,0.00,59,0,0.00,0,0,107,0.00,380,0,0,0.00,0.00
4,217,4260,193,0.66,0.00,61,0,0.00,0,0,120,0.00,380,0,0,0.00,0.00
5,233,4560,213,0.68,0.00,63,0,0.00,0,0,134,0.00,380,0,0,0.00,0.00
6,248,4860,233,0.70,0.00,65,0,0.00,0,0,147,0.00,380,0,0,0.00,0.00
7,263,5160,253,0.72,0.00,68,0,0.00,0,0,161,0.00,380,0,0,0.00,0.00
8,278,5460,273,0.74,0.00,70,0,0.00,0,0,175,0.00,380,0,0,0.00,0.00
9,293,5760,293,0.76,0.00,72,0,0.00,0,0,188,0.00,380,0,0,0.00,0.00
10,308,6060,313,0.78,0.00,74,0,0.00,0,0,201,0.00,380,0,0,0.00,0.00
11,324,6360,333,0.80,0.00,76,0,0.00,0,0,215,0.00,380,0,0,0.00,0.00
12,339,6660,353,0.82,0.00,78,0,0.00,0,0,228,0.00,380,0,0,0.00,0.00
13,354,6960,373,0.84,0.00,81,0,0.00,0,0,242,0.00,380,0,0,0.00,0.00
14,369,7260,393,0.86,0.00,83,0,0.00,0,0,255,0.00,380,0,0,0.00,0.00
15,384,7560,413,0.88,0.00,85,0,0.00,0,0,269,0.00,380,0,0,0.00,0.00
