Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,159,3657,147,0.00,0.00,61,0,0,0,430,82,0.00,380,15,0.00,0.00,0.00
2,170,4010,171,0.03,0.00,64,0,0,0,524,93,0.00,380,16,0.00,0.00,0.00
3,182,4364,196,0.06,0.00,67,0,0,0,618,107,0.00,380,17,0.00,0.00,0.00
4,193,4718,221,0.09,0.00,71,0,0,0,712,120,0.00,380,19,0.00,0.00,0.00
5,205,5072,245,0.12,0.00,74,0,0,0,806,134,0.00,380,21,0.00,0.00,0.00
6,217,5426,270,0.15,0.00,77,0,0,0,900,147,0.00,380,23,0.00,0.00,0.00
7,228,5779,295,0.18,0.00,81,0,0,0,994,161,0.00,380,24,0.00,0.00,0.00
8,240,6133,319,0.21,0.00,84,0,0,0,1088,174,0.00,380,26,0.00,0.00,0.00
9,251,6487,344,0.24,0.00,88,0,0,0,1182,188,0.00,380,27,0.00,0.00,0.00
10,263,6481,369,0.27,0.00,91,0,0,0,1276,201,0.00,380,29,0.00,0.00,0.00
11,275,7165,394,0.30,0.00,94,0,0,0,1370,215,0.00,380,31,0.00,0.00,0.00
12,286,7548,418,0.33,0.00,98,0,0,0,1464,228,0.00,380,32,0.00,0.00,0.00
13,298,7902,443,0.36,0.00,101,0,0,0,1558,242,0.00,380,34,0.00,0.00,0.00
14,309,8256,468,0.39,0.00,105,0,0,0,1652,255,0.00,380,36,0.00,0.00,0.00
15,321,8610,492,0.42,0.00,108,0,0,0,1746,269,0.00,380,37,0.00,0.00,0.00
