Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,171,3551,145,0.00,0.00,63,0,0.00,12,470,80,0.00,350,17,0,0.00,0.00
2,179,3935,167,0.01,0.00,66,0,0.00,12,574,93,0.00,350,18,0,0.00,0.00
3,188,4319,189,0.02,0.00,70,0,0.00,12,678,107,0.00,350,20,0,0.00,0.00
4,197,4703,211,0.03,0.00,74,0,0.00,12,782,120,0.00,350,22,0,0.00,0.00
5,206,5087,233,0.04,0.00,78,0,0.00,12,886,134,0.00,350,24,0,0.00,0.00
6,215,5471,255,0.05,0.00,82,0,0.00,12,990,147,0.00,350,26,0,0.00,0.00
7,223,5855,277,0.06,0.00,85,0,0.00,12,1094,161,0.00,350,27,0,0.00,0.00
8,232,6239,299,0.07,0.00,89,0,0.00,12,1198,174,0.00,350,29,0,0.00,0.00
9,241,6623,321,0.08,0.00,93,0,0.00,12,1302,188,0.00,350,31,0,0.00,0.00
10,249,7007,343,0.09,0.00,96,0,0.00,12,1406,201,0.00,350,32,0,0.00,0.00
11,258,7391,365,0.10,0.00,100,0,0.00,12,1510,214,0.00,350,34,0,0.00,0.00
12,267,7775,387,0.11,0.00,104,0,0.00,12,1614,228,0.00,350,36,0,0.00,0.00
13,276,8159,409,0.12,0.00,108,0,0.00,12,1718,241,0.00,350,38,0,0.00,0.00
14,284,8543,431,0.13,0.00,111,0,0.00,12,1822,255,0.00,350,39,0,0.00,0.00
15,293,8927,453,0.14,0.00,115,0,0.00,12,1926,268,0.00,350,41,0,0.00,0.00
