Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,184,3600,138,0.00,0.00,60,0,0.00,27,450,80,0.00,380,0,0,0.00,0.00
2,200,3920,161,0.03,0.00,62,0,0.00,30,547,93,0.00,380,0,0,0.00,0.00
3,216,4240,184,0.06,0.00,64,0,0.00,33,644,106,0.00,380,0,0,0.00,0.00
4,232,4560,207,0.09,0.00,66,0,0.00,36,741,120,0.00,380,0,0,0.00,0.00
5,248,4880,230,0.12,0.00,68,0,0.00,39,838,134,0.00,380,0,0,0.00,0.00
6,264,5200,253,0.15,0.00,70,0,0.00,42,935,147,0.00,380,0,0,0.00,0.00
7,280,5520,276,0.18,0.00,72,0,0.00,45,1032,160,0.00,380,0,0,0.00,0.00
8,296,5840,299,0.21,0.00,74,0,0.00,48,1129,174,0.00,380,0,0,0.00,0.00
9,312,6160,322,0.24,0.00,76,0,0.00,51,1226,187,0.00,380,0,0,0.00,0.00
10,328,6480,345,0.27,0.00,78,0,0.00,54,1323,201,0.00,380,0,0,0.00,0.00
11,344,6800,368,0.30,0.00,80,0,0.00,57,1420,214,0.00,380,0,0,0.00,0.00
12,360,7120,391,0.33,0.00,82,0,0.00,60,1517,228,0.00,380,0,0,0.00,0.00
13,376,7440,414,0.36,0.00,84,0,0.00,63,1614,241,0.00,380,0,0,0.00,0.00
14,392,7760,437,0.39,0.00,86,0,0.00,66,1711,255,0.00,380,0,0,0.00,0.00
15,408,8080,460,0.42,0.00,88,0,0.00,69,1808,268,0.00,380,0,0,0.00,0.00
