Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,174,3720,145,0.00,0.00,54,0,0.00,27,0,80,0.00,380,0,0,0.00,0.00
2,185,4055,168,0.01,0.00,56,0,0.00,30,0,93,0.00,380,0,0,0.00,0.00
3,197,4390,192,0.02,0.00,58,0,0.00,33,0,107,0.00,380,0,0,0.00,0.00
4,209,4725,215,0.03,0.00,60,0,0.00,36,0,120,0.00,380,0,0,0.00,0.00
5,221,5060,239,0.04,0.00,62,0,0.00,39,0,134,0.00,380,0,0,0.00,0.00
6,233,5395,262,0.05,0.00,64,0,0.00,42,0,147,0.00,380,0,0,0.00,0.00
7,245,5730,285,0.06,0.00,66,0,0.00,45,0,160,0.00,380,0,0,0.00,0.00
8,257,6065,309,0.07,0.00,68,0,0.00,48,0,174,0.00,380,0,0,0.00,0.00
9,268,6400,332,0.08,0.00,70,0,0.00,51,0,187,0.00,380,0,0,0.00,0.00
10,280,6735,356,0.09,0.00,72,0,0.00,54,0,201,0.00,380,0,0,0.00,0.00
11,292,7070,379,0.10,0.00,74,0,0.00,57,0,214,0.00,380,0,0,0.00,0.00
12,304,7405,403,0.11,0.00,76,0,0.00,60,0,228,0.00,380,0,0,0.00,0.00
13,316,7740,426,0.12,0.00,78,0,0.00,63,0,241,0.00,380,0,0,0.00,0.00
14,327,8075,450,0.13,0.00,80,0,0.00,66,0,255,0.00,380,0,0,0.00,0.00
15,339,8410,473,0.14,0.00,82,0,0.00,69,0,268,0.00,380,0,0,0.00,0.00
