Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,170,3558,130,0.00,0.00,55,0,0.00,15,470,80,0.00,360,17,0,0.00,0.00
2,180,3813,150,0.01,0.00,57,0,0.00,18,574,93,0.00,360,18,0,0.00,0.00
3,191,4069,170,0.02,0.00,60,0,0.00,21,678,107,0.00,360,20,0,0.00,0.00
4,202,4325,190,0.03,0.00,63,0,0.00,24,782,120,0.00,360,22,0,0.00,0.00
5,213,4581,210,0.04,0.00,66,0,0.00,27,886,134,0.00,360,24,0,0.00,0.00
6,224,4837,230,0.05,0.00,69,0,0.00,30,990,147,0.00,360,26,0,0.00,0.00
7,235,5093,250,0.06,0.00,72,0,0.00,33,1094,160,0.00,360,28,0,0.00,0.00
8,246,5349,270,0.07,0.00,75,0,0.00,36,1198,174,0.00,360,30,0,0.00,0.00
9,256,5604,290,0.08,0.00,77,0,0.00,39,1302,187,0.00,360,31,0,0.00,0.00
10,267,5860,310,0.09,0.00,80,0,0.00,42,1406,201,0.00,360,33,0,0.00,0.00
11,278,6116,330,0.10,0.00,83,0,0.00,45,1510,214,0.00,360,35,0,0.00,0.00
12,289,6372,350,0.11,0.00,86,0,0.00,48,1614,228,0.00,360,37,0,0.00,0.00
13,300,6628,370,0.12,0.00,89,0,0.00,51,1718,241,0.00,360,39,0,0.00,0.00
14,310,6883,390,0.13,0.00,91,0,0.00,54,1822,255,0.00,360,40,0,0.00,0.00
15,321,7139,410,0.14,0.00,94,0,0.00,57,1926,268,0.00,360,42,0,0.00,0.00
