Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,175,3391,133,0.00,0.00,53,18,0.00,15,490,80,0.00,360,16,18,0.00,0.00
2,186,3637,153,0.01,0.00,55,21,0.00,18,598,93,0.00,360,19,21,0.00,0.00
3,197,3884,174,0.02,0.00,57,24,0.00,21,706,107,0.00,360,21,24,0.00,0.00
4,209,4131,195,0.03,0.00,59,27,0.00,24,814,120,0.00,360,23,27,0.00,0.00
5,220,4377,216,0.04,0.00,61,30,0.00,27,922,134,0.00,360,25,30,0.00,0.00
6,232,4624,237,0.05,0.00,63,33,0.00,30,1030,147,0.00,360,27,33,0.00,0.00
7,243,4871,258,0.06,0.00,65,36,0.00,33,1138,160,0.00,360,29,36,0.00,0.00
8,254,5117,279,0.07,0.00,67,39,0.00,36,1246,174,0.00,360,31,39,0.00,0.00
9,266,5364,299,0.08,0.00,69,42,0.00,39,1354,187,0.00,360,34,42,0.00,0.00
10,277,5611,320,0.09,0.00,71,45,0.00,42,1462,201,0.00,360,36,45,0.00,0.00
11,288,5857,341,0.10,0.00,73,48,0.00,45,1570,214,0.00,360,38,48,0.00,0.00
12,300,6104,362,0.11,0.00,75,51,0.00,48,1678,228,0.00,360,40,51,0.00,0.00
13,311,6350,383,0.12,0.00,77,54,0.00,51,1786,241,0.00,360,42,54,0.00,0.00
14,322,6597,403,0.13,0.00,79,57,0.00,54,1894,255,0.00,360,45,57,0.00,0.00
15,333,6844,424,0.14,0.00,81,60,0.00,57,2002,268,0.00,360,47,60,0.00,0.00
