Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,178,3720,159,0.00,0.00,69,0,0.00,15,420,80,0.00,370,15,0,0.00,0.00
2,189,4055,184,0.01,0.00,73,0,0.00,18,512,93,0.00,370,16,0,0.00,0.00
3,201,4390,210,0.02,0.00,78,0,0.00,21,604,107,0.00,370,18,0,0.00,0.00
4,212,4726,235,0.03,0.00,83,0,0.00,24,696,120,0.00,370,19,0,0.00,0.00
5,224,5061,261,0.04,0.00,88,0,0.00,27,788,134,0.00,370,22,0,0.00,0.00
6,235,5397,287,0.05,0.00,93,0,0.00,30,880,148,0.00,370,24,0,0.00,0.00
7,247,5732,312,0.06,0.00,98,0,0.00,33,972,161,0.00,370,25,0,0.00,0.00
8,259,6067,338,0.07,0.00,103,0,0.00,36,1064,175,0.00,370,27,0,0.00,0.00
9,270,6403,363,0.08,0.00,107,0,0.00,39,1156,188,0.00,370,29,0,0.00,0.00
10,281,6738,389,0.09,0.00,112,0,0.00,42,1248,202,0.00,370,30,0,0.00,0.00
11,293,7073,414,0.10,0.00,117,0,0.00,45,1340,215,0.00,370,32,0,0.00,0.00
12,304,7409,440,0.11,0.00,122,0,0.00,48,1432,229,0.00,370,34,0,0.00,0.00
13,316,7744,465,0.12,0.00,127,0,0.00,51,1524,242,0.00,370,35,0,0.00,0.00
14,327,8079,491,0.13,0.00,131,0,0.00,54,1616,256,0.00,370,37,0,0.00,0.00
15,339,8414,516,0.14,0.00,136,0,0.00,57,1708,269,0.00,370,39,0,0.00,0.00
