Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,175,3391,133,0.00,0.00,47,18,0.00,15,490,80,0.00,360,18,18,0.00,0.00
2,186,3637,153,0.02,0.00,49,21,0.00,18,595,93,0.00,360,19,21,0.00,0.00
3,197,3884,174,0.04,0.00,51,24,0.00,21,704,107,0.00,360,21,24,0.00,0.00
4,209,4131,195,0.06,0.00,53,27,0.00,24,811,120,0.00,360,23,27,0.00,0.00
5,220,4377,216,0.08,0.00,55,30,0.00,27,918,134,0.00,360,25,30,0.00,0.00
6,232,4624,237,0.10,0.00,57,33,0.00,30,1025,147,0.00,360,27,33,0.00,0.00
7,243,4871,258,0.12,0.00,59,36,0.00,33,1132,160,0.00,360,29,36,0.00,0.00
8,254,5117,279,0.14,0.00,61,39,0.00,36,1239,174,0.00,360,31,39,0.00,0.00
9,266,5364,299,0.16,0.00,63,42,0.00,39,1346,187,0.00,360,32,42,0.00,0.00
10,277,5611,320,0.18,0.00,65,45,0.00,42,1454,201,0.00,360,34,45,0.00,0.00
11,288,5857,341,0.20,0.00,67,48,0.00,45,1561,214,0.00,360,36,48,0.00,0.00
12,300,6104,362,0.22,0.00,69,51,0.00,48,1668,228,0.00,360,38,51,0.00,0.00
13,311,6350,383,0.24,0.00,71,54,0.00,51,1775,241,0.00,360,40,54,0.00,0.00
14,322,6597,403,0.26,0.00,73,57,0.00,54,1882,255,0.00,360,41,57,0.00,0.00
15,333,6844,424,0.28,0.00,75,60,0.00,57,1990,268,0.00,360,43,60,0.00,0.00
