Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,196,3585,134,0,0,50,0,0,27,440,80,0,370,15,0,0,0
2,213,3863,157,0.03,0,51,0,0,30,535,93,0,370,16,0,0,0
3,231,4142,181,0.06,0,53,0,0,33,630,107,0,370,18,0,0,0
4,248,4421,204,0.09,0,55,0,0,36,725,120,0,370,19,0,0,0
5,266,4700,228,0.12,0,57,0,0,39,820,134,0,370,21,0,0,0
6,284,4979,252,0.15,0,59,0,0,42,915,147,0,370,22,0,0,0
7,301,5258,275,0.18,0,61,0,0,45,1010,160,0,370,23,0,0,0
8,319,5537,299,0.21,0,63,0,0,48,1105,174,0,370,25,0,0,0
9,336,5815,322,0.24,0,64,0,0,51,1200,187,0,370,26,0,0,0
10,354,6094,346,0.27,0,66,0,0,54,1295,201,0,370,28,0,0,0
11,371,6373,369,0.3,0,68,0,0,57,1390,214,0,370,29,0,0,0
12,389,6652,393,0.33,0,70,0,0,60,1485,228,0,370,31,0,0,0
13,406,6931,416,0.36,0,72,0,0,63,1580,241,0,370,32,0,0,0
14,424,7209,440,0.39,0,73,0,0,66,1675,255,0,370,34,0,0,0
15,441,7488,463,0.42,0,75,0,0,69,1770,268,0,370,35,0,0,0
