Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,187,3619,135,0.00,0.00,57,18,0.00,15,0,80,0.00,380,0.00,18,0.00,0.00
2,206,3919,156,0.02,0.00,59,21,0.00,18,0,93,0.00,380,0.00,21,0.00,0.00
3,226,4219,177,0.04,0.00,61,24,0.00,21,0,107,0.00,380,0.00,24,0.00,0.00
4,246,4519,198,0.06,0.00,63,27,0.00,24,0,120,0.00,380,0.00,27,0.00,0.00
5,266,4819,219,0.08,0.00,65,30,0.00,27,0,130,0.00,380,0.00,30,0.00,0.00
6,286,5119,241,0.10,0.00,67,33,0.00,30,0,147,0.00,380,0.00,33,0.00,0.00
7,306,5419,262,0.12,0.00,69,36,0.00,33,0,161,0.00,380,0.00,36,0.00,0.00
8,326,5719,283,0.14,0.00,71,39,0.00,36,0,174,0.00,380,0.00,39,0.00,0.00
9,346,6019,304,0.16,0.00,73,42,0.00,39,0,188,0.00,380,0.00,42,0.00,0.00
10,366,6319,325,0.18,0.00,76,45,0.00,42,0,201,0.00,380,0.00,45,0.00,0.00
11,386,6619,347,0.20,0.00,78,48,0.00,45,0,215,0.00,380,0.00,48,0.00,0.00
12,405,6919,368,0.22,0.00,80,51,0.00,48,0,228,0.00,380,0.00,51,0.00,0.00
13,425,7219,389,0.24,0.00,82,54,0.00,51,0,242,0.00,380,0.00,54,0.00,0.00
14,445,7519,410,0.26,0.00,84,57,0.00,54,0,255,0.00,380,0.00,57,0.00,0.00
15,465,7819,431,0.28,0.00,86,60,0.00,57,0,269,0.00,380,0.00,60,0.00,0.00
