Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,186,3526,131,0.00,0.00,39,18,0.00,12,440,80,0.00,350,16,18,0.00,0.00
2,203,3774,150,0.03,0.00,41,21,0.00,12,536,93,0.00,350,17,21,0.00,0.00
3,220,4022,170,0.06,0.00,43,24,0.00,12,632,107,0.00,350,19,24,0.00,0.00
4,237,4270,190,0.09,0.00,45,27,0.00,12,728,120,0.00,350,20,27,0.00,0.00
5,254,4519,210,0.12,0.00,47,30,0.00,12,824,134,0.00,350,22,30,0.00,0.00
6,271,4767,230,0.15,0.00,49,33,0.00,12,920,147,0.00,350,24,33,0.00,0.00
7,288,5015,249,0.18,0.00,51,36,0.00,12,1016,161,0.00,350,25,36,0.00,0.00
8,305,5263,269,0.21,0.00,53,39,0.00,12,1112,175,0.00,350,26,39,0.00,0.00
9,322,5511,289,0.24,0.00,55,42,0.00,12,1208,188,0.00,350,28,42,0.00,0.00
10,339,5759,309,0.27,0.00,57,45,0.00,12,1304,201,0.00,350,30,45,0.00,0.00
11,356,6008,329,0.30,0.00,59,48,0.00,12,1400,215,0.00,350,31,48,0.00,0.00
12,373,6256,348,0.33,0.00,61,51,0.00,12,1496,228,0.00,350,33,51,0.00,0.00
13,390,6504,368,0.36,0.00,63,54,0.00,12,1592,242,0.00,350,34,54,0.00,0.00
14,407,6752,388,0.39,0.00,65,57,0.00,12,1688,255,0.00,350,36,57,0.00,0.00
15,424,7000,408,0.42,0.00,67,60,0.00,12,1784,269,0.00,350,38,60,0.00,0.00
