Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP / 5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,213,3550,135,0.00,0.00,60,80,0.00,15,0,80,0.00,429,0,0,0.00,0.00
2,230,3850,157,0.02,0.00,63,80,0.00,18,0,93,0.00,429,0,0,0.00,0.00
3,247,4150,179,0.04,0.00,66,80,0.00,21,0,107,0.00,429,0,0,0.00,0.00
4,264,4450,201,0.06,0.00,69,80,0.00,24,0,120,0.00,429,0,0,0.00,0.00
5,281,4750,223,0.08,0.00,72,80,0.00,27,0,134,0.00,429,0,0,0.00,0.00
6,298,5050,245,0.10,0.00,75,80,0.00,30,0,147,0.00,429,0,0,0.00,0.00
7,315,5350,267,0.12,0.00,78,80,0.00,33,0,161,0.00,429,0,0,0.00,0.00
8,332,5650,289,0.14,0.00,81,80,0.00,36,0,174,0.00,429,0,0,0.00,0.00
9,349,5950,311,0.16,0.00,84,80,0.00,39,0,188,0.00,429,0,0,0.00,0.00
10,366,6250,333,0.18,0.00,87,80,0.00,42,0,201,0.00,429,0,0,0.00,0.00
11,383,6550,355,0.20,0.00,90,80,0.00,45,0,215,0.00,429,0,0,0.00,0.00
12,400,6850,377,0.22,0.00,93,80,0.00,48,0,228,0.00,429,0,0,0.00,0.00
13,417,7150,399,0.24,0.00,96,80,0.00,51,0,242,0.00,429,0,0,0.00,0.00
14,434,7450,421,0.26,0.00,99,80,0.00,54,0,255,0.00,429,0,0,0.00,0.00
15,451,7750,443,0.28,0.00,102,80,0.00,57,0,269,0.00,429,0,0,0.00,0.00
