Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,170,3661,171,0.00,0.00,65,0,0.00,0,420,80,0.00,413,15,0,0.00,0.00
2,179,4041,200,0.01,0.00,69,0,0.00,0,511,93,0.00,413,16,0,0.00,0.00
3,188,4421,229,0.02,0.00,73,0,0.00,0,602,107,0.00,413,18,0,0.00,0.00
4,197,4801,258,0.03,0.00,77,0,0.00,0,693,120,0.00,417,19,0,0.00,0.00
5,206,5181,287,0.04,0.00,811,0,0.00,0,784,134,0.00,417,21,0,0.00,0.00
6,215,5561,316,0.05,0.00,669,0,0.00,0,875,147,0.00,419,23,0,0.00,0.00
7,224,5941,345,0.06,0.00,819,0,0.00,0,966,161,0.00,420,24,0,0.00,0.00
8,233,6321,374,0.07,0.00,969,0,0.00,0,1057,174,0.00,421,26,0,0.00,0.00
9,242,6701,403,0.08,0.00,1119,0,0.00,0,1148,188,0.00,422,27,0,0.00,0.00
10,251,7081,432,0.09,0.00,1269,0,0.00,0,1239,201,0.00,423,29,0,0.00,0.00
11,260,7461,461,0.10,0.00,1419,0,0.00,0,1330,214,0.00,425,30,0,0.00,0.00
12,269,7841,490,0.11,0.00,1569,0,0.00,0,1421,228,0.00,426,32,0,0.00,0.00
13,278,8221,519,0.12,0.00,1719,0,0.00,0,1512,241,0.00,427,33,0,0.00,0.00
14,287,8601,548,0.13,0.00,1869,0,0.00,0,1603,255,0.00,428,35,0,0.00,0.00
15,296,8981,577,0.14,0.00,2019,0,0.00,0,1694,268,0.00,429,36,0,0.00,0.00
