Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,153,3816,171,0.00,0.00,67,0,0.00,0,0,80,0.00,380,0,0,0.00,0.13
2,163,4230,200,0.01,0.00,71,0,0.00,0,0,93,0.00,380,0,0,0.00,0.13
3,174,4644,230,0.02,0.00,75,0,0.00,0,0,107,0.00,380,0,0,0.00,0.13
4,184,5059,259,0.03,0.00,79,0,0.00,0,0,120,0.00,380,0,0,0.00,0.13
5,195,5473,289,0.04,0.00,83,0,0.00,0,0,134,0.00,380,0,0,0.00,0.13
6,206,5888,319,0.05,0.00,87,0,0.00,0,0,147,0.00,380,0,0,0.00,0.13
7,216,6302,348,0.06,0.00,91,0,0.00,0,0,164,0.00,380,0,0,0.00,0.13
8,227,6716,378,0.07,0.00,95,0,0.00,0,0,174,0.00,380,0,0,0.00,0.13
9,237,7131,407,0.08,0.00,99,0,0.00,0,0,187,0.00,380,0,0,0.00,0.13
10,248,7545,437,0.09,0.00,103,0,0.00,0,0,201,0.00,380,0,0,0.00,0.13
11,258,7959,466,0.10,0.00,107,0,0.00,0,0,214,0.00,380,0,0,0.00,0.13
12,269,8374,496,0.11,0.00,111,0,0.00,0,0,228,0.00,380,0,0,0.00,0.13
13,279,8788,525,0.12,0.00,115,0,0.00,0,0,241,0.00,380,0,0,0.00,0.13
14,290,9202,555,0.13,0.00,119,0,0.00,0,0,255,0.00,380,0,0,0.00,0.13
15,300,9616,584,0.14,0.00,123,0,0.00,0,0,268,0.00,380,0,0,0.00,0.13
