Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,183,3438,137,0.00,0.00,54,0,0.00,27,490,80,0.00,360,17,0,0.00,0.00
2,194,3705,155,0.01,0.00,55,0,0.00,30,595,93,0.00,360,18,0,0.00,0.00
3,205,3972,174,0.02,0.00,57,0,0.00,33,700,107,0.00,360,20,0,0.00,0.00
4,217,4239,193,0.03,0.00,59,0,0.00,36,805,120,0.00,360,22,0,0.00,0.00
5,228,4506,212,0.04,0.00,61,0,0.00,39,910,134,0.00,360,24,0,0.00,0.00
6,240,4773,231,0.05,0.00,63,0,0.00,42,1015,147.3,0.00,360,25,0,0.00,0.00
7,251,5040,250,0.06,0.00,65,0,0.00,45,1120,160.8,0.00,360,27,0,0.00,0.00
8,262,5307,269,0.07,0.00,67,0,0.00,48,1225,174.3,0.00,360,29,0,0.00,0.00
9,274,5574,287,0.08,0.00,68,0,0.00,51,1330,187.8,0.00,360,31,0,0.00,0.00
10,285,5841,306,0.09,0.00,70,0,0.00,54,1435,201.3,0.00,360,32,0,0.00,0.00
11,296,6108,325,0.10,0.00,72,0,0.00,57,1540,214.8,0.00,360,34,0,0.00,0.00
12,308,6375,344,0.11,0.00,74,0,0.00,60,1645,228.3,0.00,360,36,0,0.00,0.00
13,319,6642,363,0.12,0.00,76,0,0.00,63,1750,241.8,0.00,360,38,0,0.00,0.00
14,330,6909,381,0.13,0.00,77,0,0.00,66,1855,255.3,0.00,360,40,0,0.00,0.00
15,341,7176,400,0.14,0.00,79,0,0.00,69,1960,268.8,0.00,360,41,0,0.00,0.00
