Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,169,3657,147,0.00,0.00,61,0,0.00,15,0,80,0.00,380,0,0,0.00,0.00
2,182,4010,171,0.03,0.00,64,0,0.00,18,0,93,0.00,380,0,0,0.00,0.00
3,196,4364,196,0.06,0.00,67,0,0.00,21,0,107,0.00,380,0,0,0.00,0.00
4,209,4717,221,0.09,0.00,71,0,0.00,24,0,120,0.00,380,0,0,0.00,0.00
5,223,5072,245,0.12,0.00,74,0,0.00,27,0,134,0.00,380,0,0,0.00,0.00
6,237,5426,269,0.15,0.00,78,0,0.00,30,0,148,0.00,380,0,0,0.00,0.00
7,250,5779,294,0.18,0.00,81,0,0.00,33,0,161,0.00,380,0,0,0.00,0.00
8,264,6133,319,0.21,0.00,84,0,0.00,36,0,175,0.00,380,0,0,0.00,0.00
9,277,6487,343,0.24,0.00,88,0,0.00,39,0,188,0.00,380,0,0,0.00,0.00
10,291,6841,368,0.27,0.00,91,0,0.00,42,0,202,0.00,380,0,0,0.00,0.00
11,304,7194,392,0.30,0.00,94,0,0.00,45,0,215,0.00,380,0,0,0.00,0.00
12,318,7548,417,0.33,0.00,98,0,0.00,48,0,229,0.00,380,0,0,0.00,0.00
13,331,7902,442,0.36,0.00,101,0,0.00,51,0,242,0.00,380,0,0,0.00,0.00
14,345,8256,466,0.39,0.00,104,0,0.00,54,0,256,0.00,380,0,0,0.00,0.00
15,358,8610,491,0.42,0.00,107,0,0.00,57,0,269,0.00,380,0,0,0.00,0.00
