Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,173,3358,137,0.00,0.00,54,18,0.00,12,490,80,0.00,360,17,18,0.00,0.00
2,182,3617,155,0.01,0.00,55,21,0.00,12,595,93,0.00,360,18,21,0.00,0.00
3,191,3876,174,0.02,0.00,57,24,0.00,12,700,107,0.00,360,20,24,0.00,0.00
4,201,4136,193,0.03,0.00,59,27,0.00,12,805,120,0.00,360,22,27,0.00,0.00
5,210,4395,212,0.04,0.00,61,30,0.00,12,910,134,0.00,360,24,30,0.00,0.00
6,220,4655,231,0.05,0.00,63,33,0.00,12,1015,147.3,0.00,360,25,33,0.00,0.00
7,229,4914,250,0.06,0.00,65,36,0.00,12,1120,160.8,0.00,360,27,36,0.00,0.00
8,238,5173,269,0.07,0.00,67,39,0.00,12,1225,174.3,0.00,360,29,39,0.00,0.00
9,248,5433,287,0.08,0.00,68,42,0.00,12,1330,187.8,0.00,360,31,42,0.00,0.00
10,257,5692,306,0.09,0.00,70,45,0.00,12,1435,201.3,0.00,360,32,45,0.00,0.00
11,266,5951,325,0.10,0.00,72,48,0.00,12,1540,214.8,0.00,360,34,48,0.00,0.00
12,276,6211,344,0.11,0.00,74,51,0.00,12,1645,228.3,0.00,360,36,51,0.00,0.00
13,285,6470,363,0.12,0.00,76,54,0.00,12,1750,241.8,0.00,360,38,54,0.00,0.00
14,294,6729,381,0.13,0.00,77,57,0.00,12,1855,255.3,0.00,360,40,57,0.00,0.00
15,303,6988,400,0.14,0.00,79,60,0.00,12,1960,268.8,0.00,360,41,60,0.00,0.00
