Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,160,3000,131,0.00,0.00,57,18,0.00,0,600,80,0.00,360,19,18,0.00,0.13
2,169,3235,149,0.01,0.00,55,21,0.00,0,720,93,0.00,360,20,21,0.00,0.13
3,179,3470,168,0.02,0.00,61,24,0.00,0,840,107,0.00,360,22,24,0.00,0.13
4,188,3705,187,0.03,0.00,63,27,0.00,0,960,120,0.00,360,24,27,0.00,0.13
5,198,3940,206,0.04,0.00,65,30,0.00,0,1080,134,0.00,360,26,30,0.00,0.13
6,208,4175,225,0.05,0.00,67,33,0.00,0,1200,147,0.00,360,28,33,0.00,0.13
7,217,4410,244,0.06,0.00,69,36,0.00,0,1320,160,0.00,360,30,36,0.00,0.13
8,227,4645,263,0.07,0.00,72,39,0.00,0,1440,174,0.00,360,32,39,0.00,0.13
9,236,4880,281,0.08,0.00,74,42,0.00,0,1560,187,0.00,360,33,42,0.00,0.13
10,246,5115,300,0.09,0.00,77,45,0.00,0,1680,201,0.00,360,35,45,0.00,0.13
11,255,5350,319,0.10,0.00,79,48,0.00,0,1800,214,0.00,360,37,48,0.00,0.13
12,265,5585,338,0.11,0.00,81,51,0.00,0,1920,228,0.00,360,39,51,0.00,0.13
13,274,5820,357,0.12,0.00,84,54,0.00,0,2040,241,0.00,360,41,54,0.00,0.13
14,284,6055,375,0.13,0.00,86,57,0.00,0,2160,255,0.00,360,42,57,0.00,0.13
15,293,6290,394,0.14,0.00,89,60,0.00,0,2280,268,0.00,360,44,60,0.00,0.13
