Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,176,3500,140,0.00,0.00,55,18,0.00,0,460,80,0.00,360,16,18,0.00,0.00
2,187,3760,160,0.01,0.00,58,21,0.00,0,561,93,0.00,360,17,21,0.00,0.00
3,198,4020,180,0.02,0.00,62,24,0.00,0,662,107,0.00,360,19,24,0.00,0.00
4,209,4280,200,0.03,0.00,65,27,0.00,0,763,120,0.00,360,20,27,0.00,0.00
5,220,4540,220,0.04,0.00,69,30,0.00,0,864,134,0.00,360,22,30,0.00,0.00
6,231,4800,240,0.05,0.00,72.3,33,0.00,0,965,148,0.00,360,23.3,33,0.00,0.00
7,242,5060,260,0.06,0.00,75.8,36,0.00,0,1066,161,0.00,360,24.8,36,0.00,0.00
8,253,5320,280,0.07,0.00,79.3,39,0.00,0,1167,175,0.00,360,26.3,39,0.00,0.00
9,264,5580,300,0.08,0.00,82.8,42,0.00,0,1268,188,0.00,360,27.8,42,0.00,0.00
10,275,5840,320,0.09,0.00,86.3,45,0.00,0,1369,202,0.00,360,29.3,45,0.00,0.00
11,286,6100,340,0.10,0.00,89.8,48,0.00,0,1470,215,0.00,360,30.8,48,0.00,0.00
12,297,6360,360,0.11,0.00,93.3,51,0.00,0,1571,229,0.00,360,32.3,51,0.00,0.00
13,308,6620,380,0.12,0.00,96.8,54,0.00,0,1672,242,0.00,360,33.8,54,0.00,0.00
14,319,6880,400,0.13,0.00,100.3,57,0.00,0,1773,256,0.00,360,35.3,57,0.00,0.00
15,330,7140,420,0.14,0.00,103.8,60,0.00,0,1874,269,0.00,360,36.8,60,0.00,0.00
