Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,191,3400,141,0.00,0.00,48,0,0.00,27,440,80,0.00,350,15,0,0.00,0.00
2,206,3632,161,0.03,0.00,50,0,0.00,30,533,93,0.00,350,16,0,0.00,0.00
3,222,3864,182,0.06,0.00,52,0,0.00,33,626,107,0.00,350,18,0,0.00,0.00
4,237,4096,202,0.09,0.00,54,0,0.00,36,719,120,0.00,350,19,0,0.00,0.00
5,253,4328,223,0.12,0.00,56,0,0.00,39,812,134,0.00,350,21,0,0.00,0.00
6,268,4560,243,0.15,0.00,58,0,0.00,42,905,147,0.00,350,22,0,0.00,0.00
7,283,4792,263,0.18,0.00,60,0,0.00,45,998,160,0.00,350,23,0,0.00,0.00
8,299,5024,284,0.21,0.00,62,0,0.00,48,1091,174,0.00,350,25,0,0.00,0.00
9,314,5256,304,0.24,0.00,64,0,0.00,51,1184,187,0.00,350,26,0,0.00,0.00
10,329,5488,324,0.27,0.00,66,0,0.00,54,1277,200,0.00,350,27,0,0.00,0.00
11,345,5721,345,0.30,0.00,68,0,0.00,57,1370,214,0.00,350,29,0,0.00,0.00
12,361,5953,365,0.33,0.00,70,0,0.00,60,1463,227,0.00,350,30,0,0.00,0.00
13,377,6185,386,0.36,0.00,72,0,0.00,63,1556,241,0.00,350,32,0,0.00,0.00
14,392,6417,406,0.39,0.00,74,0,0.00,66,1649,254,0.00,350,33,0,0.00,0.00
15,408,6649,427,0.42,0.00,76,0,0.00,69,1742,268,0.00,350,35,0,0.00,0.00
