Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,206,3369,140,0.00,0.00,49,0,0,27,440,80,0.00,350,16,0,0.00,0.00
2,223,3619,160,0.03,0.00,51,0,0,30,536,93,0.00,350,17,0,0.00,0.00
3,241,3869,180,0.06,0.00,53,0,0,33,632,107,0.00,350,19,0,0.00,0.00
4,259,4119,200,0.09,0.00,55,0,0,36,728,120,0.00,350,20,0,0.00,0.00
5,277,4369,221,0.12,0.00,57,0,0,39,824,134,0.00,350,22,0,0.00,0.00
6,295,4619,241,0.15,0.00,59,0,0,42,920,148,0.00,350,24,0,0.00,0.00
7,313,4869,261,0.18,0.00,61,0,0,45,1016,161,0.00,350,25,0,0.00,0.00
8,331,5119,282,0.21,0.00,63,0,0,48,1112,175,0.00,350,27,0,0.00,0.00
9,348,5369,302,0.24,0.00,65,0,0,51,1208,188,0.00,350,28,0,0.00,0.00
10,366,5619,322,0.27,0.00,67,0,0,54,1304,202,0.00,350,30,0,0.00,0.00
11,384,5869,342,0.30,0.00,69,0,0,57,1400,215,0.00,350,31,0,0.00,0.00
12,402,6119,362,0.33,0.00,71,0,0,60,1496,229,0.00,350,33,0,0.00,0.00
13,420,6369,383,0.36,0.00,73,0,0,63,1592,242,0.00,350,34,0,0.00,0.00
14,437,6619,403,0.39,0.00,75,0,0,66,1688,256,0.00,350,36,0,0.00,0.00
15,455,6869,423,0.42,0.00,77,0,0,69,1784,269,0.00,350,37,0,0.00,0.00
