Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,196,3585,134,0.00,0.00,61,0,0.00,27,450,80,0.00,370,16,0,0.00,0.00
2,213,3863,157,0.02,0.00,63,0,0.00,30,547,93,0.00,370,17,0,0.00,0.00
3,231,4142,181,0.04,0.00,66,0,0.00,33,644,107,0.00,370,19,0,0.00,0.00
4,248,4421,204,0.06,0.00,69,0,0.00,36,741,120,0.00,370,20,0,0.00,0.00
5,266,4700,228,0.08,0.00,71,0,0.00,39,838,134,0.00,370,22,0,0.00,0.00
6,284,4979,252,0.10,0.00,74,0,0.00,42,935,148,0.00,370,24,0,0.00,0.00
7,301,5258,275,0.12,0.00,77,0,0.00,45,1032,161,0.00,370,25,0,0.00,0.00
8,319,5537,299,0.14,0.00,79,0,0.00,48,1129,175,0.00,370,27,0,0.00,0.00
9,336,5815,322,0.16,0.00,82,0,0.00,51,1226,188,0.00,370,28,0,0.00,0.00
10,354,6094,346,0.18,0.00,85,0,0.00,54,1323,202,0.00,370,30,0,0.00,0.00
11,371,6373,369,0.20,0.00,87,0,0.00,57,1420,215,0.00,370,31,0,0.00,0.00
12,389,6652,393,0.22,0.00,90,0,0.00,60,1517,229,0.00,370,33,0,0.00,0.00
13,406,6931,416,0.24,0.00,92,0,0.00,63,1614,242,0.00,370,34,0,0.00,0.00
14,424,7209,440,0.26,0.00,95,0,0.00,66,1711,256,0.00,370,36,0,0.00,0.00
15,441,7488,463,0.28,0.00,98,0,0.00,69,1808,269,0.00,370,37,0,0.00,0.00
