Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,180,3500,135,0.00,0.00,50,18,0.00,15,0,80,0.00,360,0,18,0.00,0.00
2,194,3760,156,0.03,0.00,52,21,0.00,18,0,93,0.00,360,0,21,0.00,0.00
3,208,4020,178,0.06,0.00,54,24,0.00,21,0,107,0.00,360,0,24,0.00,0.00
4,222,4280,199,0.09,0.00,56,27,0.00,24,0,120,0.00,360,0,27,0.00,0.00
5,236,4540,221,0.12,0.00,58,30,0.00,27,0,134,0.00,360,0,30,0.00,0.00
6,250,4800,242,0.15,0.00,60,33,0.00,30,0,147,0.00,360,0,33,0.00,0.00
7,264,5060,264,0.18,0.00,62,36,0.00,33,0,161,0.00,360,0,36,0.00,0.00
8,278,5320,286,0.21,0.00,64,39,0.00,36,0,175,0.00,360,0,39,0.00,0.00
9,292,5580,307,0.24,0.00,66,42,0.00,39,0,188,0.00,360,0,42,0.00,0.00
10,306,5840,328,0.27,0.00,68,45,0.00,42,0,201,0.00,360,0,45,0.00,0.00
11,320,6100,350,0.30,0.00,70,48,0.00,45,0,215,0.00,360,0,48,0.00,0.00
12,334,6360,371,0.33,0.00,72,51,0.00,48,0,228,0.00,360,0,51,0.00,0.00
13,348,6620,393,0.36,0.00,74,54,0.00,51,0,242,0.00,360,0,54,0.00,0.00
14,362,6880,414,0.39,0.00,76,57,0.00,54,0,255,0.00,360,0,57,0.00,0.00
15,376,7140,436,0.42,0.00,78,60,0.00,57,0,269,0.00,360,0,60,0.00,0.00
