Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,191,3575,136,0.00,0.00,64,0,0.00,27,0,80,0.00,370,0,0,0.00,0.00
2,207,3927,158,0.02,0.00,67,0,0.00,30,0,93,0.00,370,0,0,0.00,0.00
3,224,4280,180,0.04,0.00,70,0,0.00,33,0,107,0.00,370,0,0,0.00,0.00
4,241,4632,202,0.06,0.00,73,0,0.00,36,0,120,0.00,370,0,0,0.00,0.00
5,258,4985,225,0.08,0.00,76,0,0.00,39,0,134,0.00,370,0,0,0.00,0.00
6,275,5337,247,0.10,0.00,79,0,0.00,42,0,147,0.00,370,0,0,0.00,0.00
7,291,5689,269,0.12,0.00,82,0,0.00,45,0,160,0.00,370,0,0,0.00,0.00
8,308,6042,292,0.14,0.00,85,0,0.00,48,0,174,0.00,370,0,0,0.00,0.00
9,325,6394,314,0.16,0.00,88,0,0.00,51,0,187,0.00,370,0,0,0.00,0.00
10,342,6747,336,0.18,0.00,91,0,0.00,54,0,201,0.00,370,0,0,0.00,0.00
11,359,7100,358,0.20,0.00,94,0,0.00,57,0,214,0.00,370,0,0,0.00,0.00
12,375,7452,380,0.22,0.00,97,0,0.00,60,0,228,0.00,370,0,0,0.00,0.00
13,392,7804,403,0.24,0.00,100,0,0.00,63,0,241,0.00,370,0,0,0.00,0.00
14,409,8157,425,0.26,0.00,103,0,0.00,66,0,255,0.00,370,0,0,0.00,0.00
15,426,8510,447,0.28,0.00,106,0,0.00,69,0,268,0.00,370,0,0,0.00,0.00
