Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,169,3357,133,0.00,0.00,51,18,0.00,12,440,80,0.00,360,15,18,0.00,0.00
2,185,3616,154,0.30,0.00,53,21,0.00,12,535,93,0.00,360,16,21,0.00,0.00
3,202,3875,176,0.60,0.00,55,24,0.00,12,630,107,0.00,360,18,24,0.00,0.00
4,219,4134,197,0.90,0.00,57,27,0.00,12,725,120,0.00,360,19,27,0.00,0.00
5,236,4393,219,0.12,0.00,59,30,0.00,12,820,134,0.00,360,21,30,0.00,0.00
6,253,4653,241,0.15,0.00,61,33,0.00,12,915,147,0.00,360,22,33,0.00,0.00
7,269,4912,262,0.18,0.00,63,36,0.00,12,1010,161,0.00,360,24,36,0.00,0.00
8,286,5171,284,0.21,0.00,65,39,0.00,12,1105,174,0.00,360,26,39,0.00,0.00
9,303,5430,305,0.24,0.00,67,42,0.00,12,1200,188,0.00,360,27,42,0.00,0.00
10,320,5689,327,0.27,0.00,69,45,0.00,12,1295,201,0.00,360,29,45,0.00,0.00
11,337,5949,349,0.30,0.00,71,48,0.00,12,1390,215,0.00,360,30,48,0.00,0.00
12,353,6208,370,0.33,0.00,73,51,0.00,12,1485,228,0.00,360,32,51,0.00,0.00
13,370,6467,392,0.36,0.00,75,54,0.00,12,1580,242,0.00,360,34,54,0.00,0.00
14,387,6726,413,0.39,0.00,78,57,0.00,12,1675,255,0.00,360,35,57,0.00,0.00
15,404,6985,435,0.42,0.00,80,60,0.00,12,1770,269,0.00,360,37,60,0.00,0.00
