Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,188,3535,135,0.00,0.00,60,0,0,27,0,80,0.00,380,0,0,0.00,0.00
2,204,3835,156,0.02,0.00,62,0,0,30,0,93,0.00,380,0,0,0.00,0.00
3,221,4135,177,0.04,0.00,65,0,0,33,0,107,0.00,380,0,0,0.00,0.00
4,238,4435,198,0.06,0.00,68,0,0,36,0,120,0.00,380,0,0,0.00,0.00
5,255,4735,219,0.08,0.00,71,0,0,39,0,134,0.00,380,0,0,0.00,0.00
6,272,5035,240,0.10,0.00,74,0,0,42,0,147,0.00,380,0,0,0.00,0.00
7,288,5335,261,0.12,0.00,76,0,0,45,0,161,0.00,380,0,0,0.00,0.00
8,305,5635,282,0.14,0.00,79,0,0,48,0,174,0.00,380,0,0,0.00,0.00
9,322,5935,303,0.16,0.00,82,0,0,51,0,188,0.00,380,0,0,0.00,0.00
10,338,6235,324,0.18,0.00,84,0,0,54,0,201,0.00,380,0,0,0.00,0.00
11,355,6535,345,0.20,0.00,87,0,0,57,0,214,0.00,380,0,0,0.00,0.00
12,372,6835,366,0.22,0.00,90,0,0,60,0,228,0.00,380,0,0,0.00,0.00
13,389,7135,387,0.24,0.00,93,0,0,63,0,241,0.00,380,0,0,0.00,0.00
14,405,7435,408,0.26,0.00,95,0,0,66,0,255,0.00,380,0,0,0.00,0.00
15,422,7735,429,0.28,0.00,98,0,0,69,0,268,0.00,380,0,0,0.00,0.00
