Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,186,3678,148,0.00,0.00,66,0,0.00,15,420,80,0.00,380,15,0,0.00,0.00
2,197,4028,173,0.02,0.00,70,0,0.00,18,513,93,0.00,380,16,0,0.00,0.00
3,209,4318,198,0.04,0.00,74,0,0.00,21,606,107,0.00,380,18,0,0.00,0.00
4,220,4728,223,0.06,0.00,78,0,0.00,24,699,120,0.00,380,19,0,0.00,0.00
5,232,5078,248,0.08,0.00,82,0,0.00,27,792,134,0.00,380,21,0,0.00,0.00
6,243,5428,273,0.10,0.00,87,0,0.00,30,855,147,0.00,380,23,0,0.00,0.00
7,255,5778,298,0.12,0.00,91,0,0.00,33,978,161,0.00,380,24,0,0.00,0.00
8,266,6128,323,0.14,0.00,95,0,0.00,36,1071,174,0.00,380,26,0,0.00,0.00
9,278,6478,348,0.16,0.00,99,0,0.00,39,1664,188,0.00,380,27,0,0.00,0.00
10,289,6828,373,0.18,0.00,104,0,0.00,42,1257,201,0.00,380,29,0,0.00,0.00
11,301,7178,398,0.20,0.00,108,0,0.00,45,1350,215,0.00,380,31,0,0.00,0.00
12,312,7528,423,0.22,0.00,112,0,0.00,48,1443,228,0.00,380,32,0,0.00,0.00
13,324,7878,448,0.24,0.00,116,0,0.00,51,1536,242,0.00,380,34,0,0.00,0.00
14,335,8228,473,0.26,0.00,120,0,0.00,54,1628,255,0.00,380,36,0,0.00,0.00
15,347,8578,498,0.28,0.00,125,0,0.00,57,1722,269,0.00,380,37,0,0.00,0.00
