Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,158,3850,150,0.00,0.00,70,0,0.00,0,490,80,0.00,360,17,0,0.00,0.13
2,166,4185,175,0.01,0.00,73,0,0.00,0,597,93,0.00,360,18,0,0.00,0.13
3,174,4521,200,0.02,0.00,76,0,0.00,0,704,107,0.00,360,20,0,0.00,0.13
4,182,4856,225,0.03,0.00,79,0,0.00,0,811,120,0.00,360,22,0,0.00,0.13
5,191,5192,250,0.04,0.00,82,0,0.00,0,918,134,0.00,360,24,0,0.00,0.13
6,199,5527,275,0.05,0.00,85,0,0.00,0,1025,147,0.00,360,26,0,0.00,0.13
7,207,5862,300,0.06,0.00,88,0,0.00,0,1132,160,0.00,360,28,0,0.00,0.13
8,216,6198,325,0.07,0.00,91,0,0.00,0,1239,174,0.00,360,30,0,0.00,0.13
9,224,6533,350,0.08,0.00,94,0,0.00,0,1346,187,0.00,360,31,0,0.00,0.13
10,232,6869,375,0.09,0.00,97,0,0.00,0,1453,201,0.00,360,33,0,0.00,0.13
11,240,7204,400,0.10,0.00,100,0,0.00,0,1560,214,0.00,360,35,0,0.00,0.13
12,248,7540,425,0.11,0.00,103,0,0.00,0,1667,228,0.00,360,37,0,0.00,0.13
13,257,7875,450,0.12,0.00,106,0,0.00,0,1774,241,0.00,360,39,0,0.00,0.13
14,265,8211,475,0.13,0.00,109,0,0.00,0,1881,255,0.00,360,40,0,0.00,0.13
15,273,8546,500,0.14,0.00,112,0,0.00,0,1988,268,0.00,360,42,0,0.00,0.13
