Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,183,3350,132,0.00,0.00,56,18,0.00,12,0,80,0.00,350,0,18,0.00,0.00
2,196,3585,153,0.04,0.00,58,21,0.00,12,0,93,0.00,350,0,21,0.00,0.00
3,209,3820,175,0.07,0.00,60,24,0.00,12,0,107,0.00,350,0,24,0.00,0.00
4,223,4055,196,0.11,0.00,62,27,0.00,12,0,120,0.00,350,0,27,0.00,0.00
5,236,4290,218,0.14,0.00,64,30,0.00,12,0,134,0.00,350,0,30,0.00,0.00
6,250,4525,240,0.18,0.00,66,33,0.00,12,0,147,0.00,350,0,33,0.00,0.00
7,263,4760,261,0.21,0.00,68,36,0.00,12,0,161,0.00,350,0,36,0.00,0.00
8,276,4995,282,0.25,0.00,70,39,0.00,12,0,175,0.00,350,0,39,0.00,0.00
9,289,5230,304,0.28,0.00,72,42,0.00,12,0,188,0.00,350,0,42,0.00,0.00
10,303,5465,326,0.32,0.00,74,45,0.00,12,0,201,0.00,350,0,45,0.00,0.00
11,316,5700,347,0.35,0.00,76,48,0.00,12,0,215,0.00,350,0,48,0.00,0.00
12,330,5935,369,0.39,0.00,78,51,0.00,12,0,228,0.00,350,0,51,0.00,0.00
13,343,6170,390,0.42,0.00,80,54,0.00,12,0,242,0.00,350,0,54,0.00,0.00
14,356,6405,412,0.46,0.00,82,57,0.00,12,0,255,0.00,350,0,57,0.00,0.00
15,370,6640,434,0.49,0.00,84,60,0.00,12,0,269,0.00,350,0,60,0.00,0.00
