Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,183,3400,141,0.00,0.00,50,18,0.00,15,490,80,0.00,370,18,18,0.00,0.00
2,193,3620,162,0.01,0.00,51,21,0.00,18,597,93,0.00,370,19,21,0.00,0.00
3,204,3841,184,0.02,0.00,53,24,0.00,21,704,107,0.00,370,21,24,0.00,0.00
4,215,4061,205,0.03,0.00,55,27,0.00,24,811,120,0.00,370,23,27,0.00,0.00
5,226,4282,227,0.04,0.00,56,30,0.00,27,918,134,0.00,370,25,30,0.00,0.00
6,237,4502,249,0.05,0.00,57,33,0.00,30,1025,147,0.00,370,27,33,0.00,0.00
7,248,4723,270,0.06,0.00,59,36,0.00,33,1132,160,0.00,370,29,36,0.00,0.00
8,259,4943,292,0.07,0.00,61,39,0.00,36,1239,174,0.00,370,31,39,0.00,0.00
9,270,5163,313,0.08,0.00,62,42,0.00,39,1346,187,0.00,370,32,42,0.00,0.00
10,281,5384,335,0.09,0.00,64,45,0.00,42,1453,201,0.00,370,34,45,0.00,0.00
11,292,5604,356,0.10,0.00,65,48,0.00,45,1560,214,0.00,370,36,48,0.00,0.00
12,303,5825,378,0.11,0.00,67,51,0.00,48,1667,228,0.00,370,38,51,0.00,0.00
13,314,6045,399,0.12,0.00,69,54,0.00,51,1774,241,0.00,370,40,54,0.00,0.00
14,325,6266,421,0.13,0.00,70,57,0.00,54,1881,255,0.00,370,41,57,0.00,0.00
15,336,6486,442,0.14,0.00,72,60,0.00,57,1988,268,0.00,370,43,60,0.00,0.00
