Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,177,3475,137,0.00,0.00,46,18,0.00,0,0,80,0.00,350,0,18,0.00,0.00
2,189,3707,155,0.01,0.00,48,21,0.00,0,0,93,0.00,350,0,21,0.00,0.00
3,202,3940,173,0.02,0.00,50,24,0.00,0,0,107,0.00,350,0,24,0.00,0.00
4,215,4172,191,0.03,0.00,52,27,0.00,0,0,120,0.00,350,0,27,0.00,0.00
5,228,4405,209,0.04,0.00,54,30,0.00,0,0,134,0.00,350,0,30,0.00,0.00
6,241,4638,227,0.05,0.00,56,33,0.00,0,0,147,0.00,350,0,33,0.00,0.00
7,254,4870,245,0.06,0.00,58,36,0.00,0,0,160,0.00,350,0,36,0.00,0.00
8,267,5103,263,0.07,0.00,60,39,0.00,0,0,174,0.00,350,0,39,0.00,0.00
9,279,5335,281,0.08,0.00,62,42,0.00,0,0,187,0.00,350,0,42,0.00,0.00
10,292,5568,299,0.09,0.00,64,45,0.00,0,0,201,0.00,350,0,45,0.00,0.00
11,305,5800,317,0.10,0.00,66,48,0.00,0,0,214,0.00,350,0,48,0.00,0.00
12,318,6033,335,0.11,0.00,68,51,0.00,0,0,228,0.00,350,0,51,0.00,0.00
13,331,6265,353,0.12,0.00,70,54,0.00,0,0,241,0.00,350,0,54,0.00,0.00
14,343,6498,371,0.13,0.00,72,57,0.00,0,0,255,0.00,350,0,57,0.00,0.00
15,356,6730,389,0.14,0.00,74,60,0.00,0,0,268,0.00,350,0,60,0.00,0.00
