Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,160,3555,139,0.00,0.00,54,18,0.00,0,490,80,0.00,360,17,18,0.00,0.00
2,169,3828,163,0.01,0.00,55,21,0.00,0,596,93,0.00,360,18,21,0.00,0.00
3,179,4082,157,0.02,0.00,57,24,0.00,0,702,107,0.00,360,20,24,0.00,0.00
4,189,4345,211,0.03,0.00,59,27,0.00,0,808,120,0.00,360,22,27,0.00,0.00
5,199,4609,235,0.04,0.00,61,30,0.00,0,914,134,0.00,360,24,30,0.00,0.00
6,209,4872,253,0.05,0.00,63,33,0.00,0,1020,147,0.00,360,26,33,0.00,0.00
7,219,5134,277,0.06,0.00,65,36,0.00,0,1126,160,0.00,360,28,36,0.00,0.00
8,229,5397,301,0.07,0.00,67,39,0.00,0,1232,174,0.00,360,30,39,0.00,0.00
9,238,5659,325,0.08,0.00,68,42,0.00,0,1338,187,0.00,360,31,42,0.00,0.00
10,248,5922,349,0.09,0.00,70,45,0.00,0,1444,201,0.00,360,33,45,0.00,0.00
11,258,6184,373,0.10,0.00,72,48,0.00,0,1550,214,0.00,360,35,48,0.00,0.00
12,268,6447,397,0.11,0.00,74,51,0.00,0,1656,228,0.00,360,37,51,0.00,0.00
13,278,6709,421,0.12,0.00,76,54,0.00,0,1762,241,0.00,360,39,54,0.00,0.00
14,287,6972,445,0.13,0.00,77,57,0.00,0,1868,255,0.00,360,40,57,0.00,0.00
15,297,7234,469,0.14,0.00,79,60,0.00,0,1974,268,0.00,360,42,60,0.00,0.00
