Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,128,3438,118,0.00,0.00,44,0,0.00,12,490,80,0.00,360,18,0,0.00,0.00
2,135,3702,136,0.01,0.00,45,0,0.00,12,597,93,0.00,360,19,0,0.00,0.00
3,143,3966,155,0.02,0.00,47,0,0.00,12,704,107,0.00,360,21,0,0.00,0.00
4,150,4230,174,0.03,0.00,49,0,0.00,12,811,120,0.00,360,23,0,0.00,0.00
5,158,4494,193,0.04,0.00,50,0,0.00,12,918,134,0.00,360,25,0,0.00,0.00
6,165,4758,212,0.05,0.00,52,0,0.00,12,1025,148,0.00,360,27,0,0.00,0.00
7,172,5022,231,0.06,0.00,54,0,0.00,12,1132,161,0.00,360,29,0,0.00,0.00
8,180,5286,250,0.07,0.00,55,0,0.00,12,1239,175,0.00,360,31,0,0.00,0.00
9,187,5550,268,0.08,0.00,57,0,0.00,12,1346,188,0.00,360,32,0,0.00,0.00
10,195,5814,287,0.09,0.00,59,0,0.00,12,1453,202,0.00,360,34,0,0.00,0.00
11,202,6078,306,0.10,0.00,60,0,0.00,12,1560,215,0.00,360,36,0,0.00,0.00
12,210,6342,325,0.11,0.00,62,0,0.00,12,1667,229,0.00,360,38,0,0.00,0.00
13,217,6606,344,0.12,0.00,63,0,0.00,12,1774,242,0.00,360,40,0,0.00,0.00
14,225,6870,362,0.13,0.00,65,0,0.00,12,1881,256,0.00,360,41,0,0.00,0.00
15,232,7134,381,0.14,0.00,67,0,0.00,12,1988,269,0.00,360,43,0,0.00,0.00
