Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,173,3472,144,0.00,0.00,54,18,0.00,15,490,80,0.00,370,17,18,0.00,0.00
2,184,3754,165,0.01,0.00,56,21,0.00,18,597,93,0.00,370,18,21,0.00,0.00
3,195,4036,186,0.02,0.00,59,24,0.00,21,704,107,0.00,370,20,24,0.00,0.00
4,206,4319,207,0.03,0.00,61,27,0.00,24,811,120,0.00,370,22,27,0.00,0.00
5,217,4601,228,0.04,0.00,63,30,0.00,27,918,134,0.00,370,24,30,0.00,0.00
6,228,4884,249,0.05,0.00,66,33,0.00,30,1025,147,0.00,370,26,33,0.00,0.00
7,239,5166,270,0.06,0.00,68,36,0.00,33,1132,160,0.00,370,28,36,0.00,0.00
8,250,5448,291,0.07,0.00,71,39,0.00,36,1239,174,0.00,370,30,39,0.00,0.00
9,261,5731,312,0.08,0.00,73,42,0.00,39,1346,187,0.00,370,31,42,0.00,0.00
10,272,6013,333,0.09,0.00,75,45,0.00,42,1453,201,0.00,370,33,45,0.00,0.00
11,283,6295,354,0.10,0.00,77,48,0.00,45,1560,214,0.00,370,35,48,0.00,0.00
12,294,6578,375,0.11,0.00,80,51,0.00,48,1667,228,0.00,370,37,51,0.00,0.00
13,305,6860,396,0.12,0.00,82,54,0.00,51,1774,241,0.00,370,39,54,0.00,0.00
14,316,7142,417,0.13,0.00,84,57,0.00,54,1881,255,0.00,370,40,57,0.00,0.00
15,327,7424,438,0.14,0.00,87,60,0.00,57,1988,268,0.00,370,42,60,0.00,0.00
