Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,172,3475,137,0.00,0.00,54,18,0.00,15,490,80,0.00,350,17,18,0.00,0.00
2,184,3707,155,0.01,0.00,55,21,0.00,18,594,93,0.00,350,18,21,0.00,0.00
3,197,3940,173,0.02,0.00,57,24,0.00,21,698,107,0.00,350,20,24,0.00,0.00
4,210,4172,191,0.03,0.00,59,27,0.00,24,802,120,0.00,350,22,27,0.00,0.00
5,223,4405,209,0.04,0.00,61,30,0.00,27,906,134,0.00,350,23,30,0.00,0.00
6,236,4638,227,0.05,0.00,62.6,33,0.00,30,1010,147,0.00,350,25,33,0.00,0.00
7,249,4870,245,0.06,0.00,64.4,36,0.00,33,1114,160,0.00,350,27,36,0.00,0.00
8,262,5103,263,0.07,0.00,66.2,39,0.00,36,1218,174,0.00,350,28,39,0.00,0.00
9,274,5335,281,0.08,0.00,68,42,0.00,39,1322,187,0.00,350,30,42,0.00,0.00
10,287,5568,299,0.09,0.00,69.8,45,0.00,42,1426,201,0.00,350,32,45,0.00,0.00
11,300,5800,317,0.10,0.00,71.6,48,0.00,45,1530,214,0.00,350,33,48,0.00,0.00
12,313,6033,335,0.11,0.00,73.4,51,0.00,48,1634,228,0.00,350,35,51,0.00,0.00
13,326,6265,353,0.12,0.00,75.2,54,0.00,51,1738,241,0.00,350,36,54,0.00,0.00
14,338,6498,371,0.13,0.00,77,57,0.00,54,1842,255,0.00,350,38,57,0.00,0.00
15,351,6730,389,0.14,0.00,78.8,60,0.00,57,1946,268,0.00,350,40,60,0.00,0.00
