Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,181,3642,131,0.00,0.00,62,0,0.00,15,450,80,0.00,400,19,0,0.00,0.00
2,198,3917,152,0.01,0.00,65,21,0.00,18,548,93,0.00,400,20,21,0.00,0.00
3,216,4192,174,0.02,0.00,68,24,0.00,21,646,107,0.00,400,22,24,0.00,0.00
4,233,4467,195,0.03,0.00,72,27,0.00,24,744,120,0.00,400,24,27,0.00,0.00
5,251,4742,217,0.04,0.00,75,30,0.00,27,842,134,0.00,400,26,30,0.00,0.00
6,268,5017,238,0.05,0.00,78,33,0.00,30,940,147,0.00,400,28,33,0.00,0.00
7,286,5292,260,0.06,0.00,82,36,0.00,33,1038,161,0.00,400,30,36,0.00,0.00
8,303,5567,281,0.07,0.00,85,39,0.00,36,1136,174,0.00,400,32,39,0.00,0.00
9,321,5842,303,0.08,0.00,88,42,0.00,39,1234,188,0.00,400,33,42,0.00,0.00
10,338,6117,324,0.09,0.00,92,45,0.00,42,1332,201,0.00,400,35,45,0.00,0.00
11,356,6392,346,0.10,0.00,95,48,0.00,45,1430,214,0.00,400,37,48,0.00,0.00
12,373,6667,367,0.11,0.00,98,51,0.00,48,1528,228,0.00,400,39,51,0.00,0.00
13,391,6942,389,0.12,0.00,101,54,0.00,51,1626,241,0.00,400,41,54,0.00,0.00
14,408,7217,410,0.13,0.00,105,57,0.00,54,1724,255,0.00,400,43,57,0.00,0.00
15,426,7492,432,0.14,0.00,108,60,0.00,57,1822,268,0.00,400,45,60,0.00,0.00
