Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,175,3660,134,0.00,0.00,55,18,0.00,15,450,80,0.00,380,18,18,0.20,0.00
2,192,3942,157,0.03,0.00,58,21,0.00,18,565,93,0.00,380,19,21,0.20,0.00
3,209,4224,174,0.06,0.00,61,24,0.00,21,680,107,0.00,380,21,24,0.20,0.00
4,226,4506,194,0.09,0.00,64,27,0.00,24,795,120,0.00,380,23,27,0.20,0.00
5,243,4788,214,0.12,0.00,67,30,0.00,25,910,134,0.00,380,25,30,0.20,0.00
6,260,5070,234,0.15,0.00,70,33,0.00,28,1025,147,0.00,380,27,33,0.20,0.00
7,277,5352,254,0.18,0.00,73,36,0.00,30,1140,161,0.00,380,29,36,0.20,0.00
8,294,5634,274,0.21,0.00,76,39,0.00,33,1255,175,0.00,380,31,39,0.20,0.00
9,311,5916,294,0.24,0.00,79,42,0.00,35,1370,188,0.00,380,33,42,0.20,0.00
10,328,6198,313,0.27,0.00,82,45,0.00,38,1485,201,0.00,380,35,45,0.20,0.00
11,345,6480,333,0.30,0.00,85,48,0.00,40,1600,215,0.00,380,37,48,0.20,0.00
12,362,6762,353,0.33,0.00,88,51,0.00,43,1715,228,0.00,380,38,51,0.20,0.00
13,379,7044,373,0.36,0.00,91,54,0.00,45,1830,242,0.00,380,40,54,0.20,0.00
14,396,7326,392,0.39,0.00,94,57,0.00,48,1945,255,0.00,380,42,57,0.20,0.00
15,413,7608,412,0.42,0.00,97,60,0.00,51,2060,269,0.00,380,44,60,0.20,0.00
