Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,186,3720,146,0.00,0.00,61,0,0.00,27,430,80,0.00,390,16,0,0.00,0.00
2,199,4055,171,0.03,0.00,64,0,0.00,30,526,93,0.00,390,17,0,0.00,0.00
3,213,4390,197,0.06,0.00,67,0,0.00,33,622,107,0.00,390,19,0,0.00,0.00
4,226,4726,222,0.09,0.00,70,0,0.00,36,718,120,0.00,390,21,0,0.00,0.00
5,240,5061,248,0.12,0.00,73,0,0.00,39,814,134,0.00,390,22,0,0.00,0.00
6,253,5397,274,0.15,0.00,76,0,0.00,42,910,147,0.00,390,24,0,0.00,0.00
7,267,5733,300,0.18,0.00,79,0,0.00,45,1006,161,0.00,390,26,0,0.00,0.00
8,281,6068,325,0.21,0.00,82,0,0.00,48,1102,175,0.00,390,28,0,0.00,0.00
9,294,6403,351,0.24,0.00,85,0,0.00,51,1198,188,0.00,390,29,0,0.00,0.00
10,307,6739,377,0.27,0.00,88,0,0.00,54,1294,201,0.00,390,31,0,0.00,0.00
11,321,7074,402,0.30,0.00,91,0,0.00,57,1390,215,0.00,390,33,0,0.00,0.00
12,334,7410,428,0.33,0.00,94,0,0.00,60,1486,228,0.00,390,34,0,0.00,0.00
13,348,7745,453,0.36,0.00,97,0,0.00,63,1582,242,0.00,390,36,0,0.00,0.00
14,361,8080,479,0.39,0.00,100,0,0.00,66,1678,255,0.00,390,37,0,0.00,0.00
15,375,8416,505,0.42,0.00,103,0,0.00,69,1774,269,0.00,390,39,0,0.00,0.00
