Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,191,3589,132,0.00,0.00,57,0,0.00,0,450,27,0,380,16,0,0.00,0.00
2,208,3865,155,0.01,0.00,59,0,0.00,30,547,93,0,380,17,0,0.00,0.00
3,255,4142,178,0.02,0.00,61,0,0.00,33,644,107,0,380,19,0,0.00,0.00
4,242,4419,201,0.03,0.00,64,0,0.00,36,741,120,0,380,20,0,0.00,0.00
5,259,4696,224,0.04,0.00,66,0,0.00,39,838,134,0,380,22,0,0.00,0.00
6,277,4973,247,0.05,0.00,68,0,0.00,42,935,147,0,380,24,0,0.00,0.00
7,294,5250,270,0.06,0.00,71,0,0.00,45,1032,161,0,380,25,0,0.00,0.00
8,311,5527,293,0.07,0.00,73,0,0.00,48,1129,174,0,380,27,0,0.00,0.00
9,328,5804,316,0.08,0.00,75,0,0.00,51,1126,188,0,380,28,0,0.00,0.00
10,345,6081,339,0.09,0.00,78,0,0.00,54,1323,201,0,380,30,0,0.00,0.00
11,363,6358,362,0.10,0.00,80,0,0.00,57,1420,215,0,380,32,0,0.00,0.00
12,380,6634,385,0.11,0.00,82,0,0.00,60,1517,228,0,380,33,0,0.00,0.00
13,397,6911,408,0.12,0.00,85,0,0.00,63,1614,242,0,380,35,0,0.00,0.00
14,414,7188,431,0.13,0.00,87,0,0.00,66,1711,255,0,380,36,0,0.00,0.00
15,431,7465,454,0.14,0.00,89,0,0.00,69,1808,269,0,380,38,0,0.00,0.00
