Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,163,3438,141,0.00,0.00,54,18,0.00,15,490,80,0.00,350,18,18,0.00,0.00
2,172,3705,159,0.01,0.00,56,21,0.00,18,597,93,0.00,350,19,21,0.00,0.00
3,182,3972,178,0.02,0.00,58,24,0.00,21,704,107,0.00,350,21,24,0.00,0.00
4,192,4239,197,0.03,0.00,60,27,0.00,24,811,120,0.00,350,23,27,0.00,0.00
5,202,4506,216,0.04,0.00,62,30,0.00,27,918,134,0.00,350,25,30,0.00,0.00
6,212,4773,235,0.05,0.00,64,33,0.00,30,1025,147,0.00,350,27,33,0.00,0.00
7,222,5040,254,0.06,0.00,66,36,0.00,33,1132,160,0.00,350,29,36,0.00,0.00
8,232,5307,273,0.07,0.00,68,39,0.00,36,1239,174,0.00,350,31,39,0.00,0.00
9,241,5574,291,0.08,0.00,70,42,0.00,39,1346,187,0.00,350,32,42,0.00,0.00
10,251,5841,310,0.09,0.00,72,45,0.00,42,1453,201,0.00,350,34,45,0.00,0.00
11,261,6108,329,0.10,0.00,74,48,0.00,45,1560,214,0.00,350,36,48,0.00,0.00
12,271,6375,348,0.11,0.00,76,51,0.00,48,1667,228,0.00,350,38,51,0.00,0.00
13,281,6642,367,0.12,0.00,78,54,0.00,51,1774,241,0.00,350,40,54,0.00,0.00
14,290,6909,385,0.13,0.00,80,57,0.00,54,1881,255,0.00,350,41,57,0.00,0.00
15,300,7176,404,0.14,0.00,82,60,0.00,57,1988,268,0.00,350,43,60,0.00,0.00
