Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,162,3672,138,0.00,0.00,57,0,0.00,0,450,80,0.00,360,16,0,0.00,0.00
2,171,4007,163,0.01,0.00,60,0,0.00,0,547,93,0.00,360,17,0,0.00,0.00
3,181,4342,188,0.02,0.00,63,0,0.00,0,644,107,0.00,360,19,0,0.00,0.00
4,191,4678,213,0.03,0.00,66,0,0.00,0,741,120,0.00,360,20,0,0.00,0.00
5,200,5013,238,0.04,0.00,69,0,0.00,0,838,134,0.00,360,22,0,0.00,0.00
6,210,5349,263,0.05,0.00,72,0,0.00,0,935,147,0.00,360,24,0,0.00,0.00
7,220,5684,288,0.06,0.00,75,0,0.00,0,1032,160,0.00,360,25,0,0.00,0.00
8,229,6019,313,0.07,0.00,78,0,0.00,0,1129,174,0.00,360,27,0,0.00,0.00
9,239,6355,338,0.08,0.00,81,0,0.00,0,1226,187,0.00,360,28,0,0.00,0.00
10,249,6690,363,0.09,0.00,84,0,0.00,0,1323,201,0.00,360,30,0,0.00,0.00
11,258,7025,388,0.10,0.00,87,0,0.00,0,1420,214,0.00,360,31,0,0.00,0.00
12,268,7361,413,0.11,0.00,90,0,0.00,0,1517,228,0.00,360,33,0,0.00,0.00
13,277,7696,438,0.12,0.00,93,0,0.00,0,1614,241,0.00,360,34,0,0.00,0.00
14,287,8031,463,0.13,0.00,96,0,0.00,0,1711,255,0.00,360,36,0,0.00,0.00
15,297,8366,488,0.14,0.00,99,0,0.00,0,1808,268,0.00,360,37,0,0.00,0.00
