Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,175,3369,133,0.00,0.00,53,0,0.00,12,490,80,0.00,350,17,0,0.00,0.13
2,183,3619,153,0.01,0.00,55,0,0.00,12,595,93,0.00,350,18,0,0.00,0.13
3,192,3869,174,0.02,0.00,57,0,0.00,12,700,107,0.00,350,20,0,0.00,0.13
4,200,4119,195,0.03,0.00,59,0,0.00,12,805,120,0.00,350,22,0,0.00,0.13
5,209,4369,216,0.04,0.00,61,0,0.00,12,910,134,0.00,350,24,0,0.00,0.13
6,218,4620,237,0.05,0.00,63,0,0.00,12,1015,147,0.00,350,25,0,0.00,0.13
7,226,4870,258,0.06,0.00,65,0,0.00,12,1120,160,0.00,350,27,0,0.00,0.13
8,235,5120,279,0.07,0.00,67,0,0.00,12,1225,174,0.00,350,29,0,0.00,0.13
9,243,5370,300,0.08,0.00,69,0,0.00,12,1330,187,0.00,350,31,0,0.00,0.13
10,252,5621,321,0.09,0.00,71,0,0.00,12,1435,201,0.00,350,32,0,0.00,0.13
11,260,5871,342,0.10,0.00,73,0,0.00,12,1540,214,0.00,350,34,0,0.00,0.13
12,269,6121,362,0.11,0.00,75,0,0.00,12,1645,228,0.00,350,36,0,0.00,0.13
13,277,6371,383,0.12,0.00,77,0,0.00,12,1750,241,0.00,350,38,0,0.00,0.13
14,286,6621,404,0.13,0.00,79,0,0.00,12,1855,255,0.00,350,40,0,0.00,0.13
15,294,6871,425,0.14,0.00,81,0,0.00,12,1960,268,0.00,350,41,0,0.00,0.13
