Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,173,3588,135,0.00,0.00,44,0,0.00,0,490,80,0.00,350,18,0,0.00,0.00
2,187,3855,155,0.02,0.00,46,0,0.00,0,597,93,0.00,350,19,0,0.00,0.00
3,202,4122,175,0.04,0.00,48,0,0.00,0,704,107,0.00,350,21,0,0.00,0.00
4,217,4389,195,0.06,0.00,50,0,0.00,0,811,120,0.00,350,23,0,0.00,0.00
5,232,4656,216,0.08,0.00,52,0,0.00,0,918,134,0.00,350,25,0,0.00,0.00
6,247,4923,236,0.10,0.00,54,0,0.00,0,1025,147,0.00,350,27,0,0.00,0.00
7,262,5190,256,0.12,0.00,56,0,0.00,0,1132,160,0.00,350,29,0,0.00,0.00
8,277,5457,277,0.14,0.00,58,0,0.00,0,1239,174,0.00,350,31,0,0.00,0.00
9,291,5724,297,0.16,0.00,60,0,0.00,0,1346,187,0.00,350,32,0,0.00,0.00
10,306,5991,317,0.18,0.00,62,0,0.00,0,1453,201,0.00,350,34,0,0.00,0.00
11,321,6258,337,0.20,0.00,64,0,0.00,0,1560,214,0.00,350,36,0,0.00,0.00
12,336,6525,357,0.22,0.00,66,0,0.00,0,1667,228,0.00,350,38,0,0.00,0.00
13,351,6792,378,0.24,0.00,68,0,0.00,0,1774,241,0.00,350,40,0,0.00,0.00
14,365,7059,398,0.26,0.00,70,0,0.00,0,1881,255,0.00,350,41,0,0.00,0.00
15,380,7326,418,0.28,0.00,72,0,0.00,0,1988,268,0.00,350,43,0,0.00,0.00
