Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,175,3485,133,0.00,0.00,67,0,0.00,15,490,80,0.00,360,18,0,0.00,0.00
2,187,3730,153,0.01,0.00,71,0,0.00,18,597,93,0.00,360,19,0,0.00,0.00
3,199,3975,174,0.02,0.00,75,0,0.00,21,704,107,0.00,360,21,0,0.00,0.00
4,211,4220,195,0.03,0.00,79,0,0.00,24,811,120,0.00,360,23,0,0.00,0.00
5,223,4465,216,0.04,0.00,83,0,0.00,27,918,134,0.00,360,25,0,0.00,0.00
6,235,4710,237,0.05,0.00,87,0,0.00,30,1025,147,0.00,360,27,0,0.00,0.00
7,247,4955,258,0.06,0.00,91,0,0.00,33,1132,161,0.00,360,29,0,0.00,0.00
8,259,5200,279,0.07,0.00,95,0,0.00,36,1239,175,0.00,360,31,0,0.00,0.00
9,271,5445,300,0.08,0.00,99,0,0.00,39,1346,188,0.00,360,33,0,0.00,0.00
10,283,5690,321,0.09,0.00,103,0,0.00,42,1453,201,0.00,360,35,0,0.00,0.00
11,295,5935,342,0.10,0.00,107,0,0.00,45,1560,215,0.00,360,37,0,0.00,0.00
12,307,6180,362,0.11,0.00,111,0,0.00,48,1667,228,0.00,360,38,0,0.00,0.00
13,319,6425,383,0.12,0.00,115,0,0.00,51,1774,242,0.00,360,40,0,0.00,0.00
14,331,6670,404,0.13,0.00,119,0,0.00,54,1881,255,0.00,360,42,0,0.00,0.00
15,343,6915,425,0.14,0.00,123,0,0.00,57,1988,269,0.00,360,44,0,0.00,0.00
