Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,194,3377,140,0.00,0.00,49,0,0.00,15,440,80,0.00,370,15,0.00,0.00,0.00
2,211,3640,160,0.03,0.00,51,0,0.00,18,533,93,0.00,370,16,0.00,0.00,0.00
3,228,3903,180,0.06,0.00,53,0,0.00,21,626,107,0.00,370,18,0.00,0.00,0.00
4,245,4166,200,0.09,0.00,55,0,0.00,24,719,120,0.00,370,19,0.00,0.00,0.00
5,262,4429,221,0.12,0.00,57,0,0.00,27,812,134,0.00,370,21,0.00,0.00,0.00
6,279,4962,241,0.15,0.00,59,0,0.00,30,905,147,0.00,370,22,0.00,0.00,0.00
7,296,4955,261,0.18,0.00,61,0,0.00,33,998,161,0.00,370,24,0.00,0.00,0.00
8,313,5218,282,0.21,0.00,63,0,0.00,36,1091,174,0.00,370,25,0.00,0.00,0.00
9,330,5481,302,0.24,0.00,65,0,0.00,39,1184,188,0.00,370,27,0.00,0.00,0.00
10,347,5744,322,0.27,0.00,68,0,0.00,42,1277,201,0.00,370,28,0.00,0.00,0.00
11,364,6007,343,0.30,0.00,70,0,0.00,45,1370,215,0.00,370,30,0.00,0.00,0.00
12,381,6270,363,0.33,0.00,72,0,0.00,48,1463,228,0.00,370,31,0.00,0.00,0.00
13,398,6533,383,0.36,0.00,74,0,0.00,51,1556,242,0.00,370,33,0.00,0.00,0.00
14,415,6796,403,0.39,0.00,76,0,0.00,54,1649,255,0.00,370,34,0.00,0.00,0.00
15,432,7059,424,0.42,0.00,78,0,0.00,57,1742,269,0.00,370,36,0.00,0.00,0.00
