Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,184,3781,150,0.00,0.00,64,18,0.00,15,0,80,0.00,380,0,18,0.00,0.00
2,199,4137,172,0.02,0.00,67,21,0.00,18,0,93,0.00,380,0,21,0.00,0.00
3,214,4494,195,0.04,0.00,70,24,0.00,21,0,107,0.00,380,0,24,0.00,0.00
4,230,4850,217,0.06,0.00,74,27,0.00,24,0,120,0.00,380,0,27,0.00,0.00
5,245,5207,240,0.08,0.00,77,30,0.00,27,0,134,0.00,380,0,30,0.00,0.00
6,261,5563,263,0.10,0.00,80,33,0.00,30,0,147,0.00,380,0,33,0.00,0.00
7,276,5919,285,0.12,0.00,83,36,0.00,33,0,160,0.00,380,0,36,0.00,0.00
8,291,6276,308,0.14,0.00,86,39,0.00,36,0,174,0.00,380,0,39,0.00,0.00
9,307,6632,330,0.16,0.00,90,42,0.00,39,0,187,0.00,380,0,42,0.00,0.00
10,322,6989,353,0.18,0.00,93,45,0.00,42,0,201,0.00,380,0,45,0.00,0.00
11,337,7345,375,0.20,0.00,96,48,0.00,45,0,214,0.00,380,0,48,0.00,0.00
12,353,7702,398,0.22,0.00,100,51,0.00,48,0,228,0.00,380,0,51,0.00,0.00
13,368,8058,420,0.24,0.00,103,54,0.00,51,0,241,0.00,380,0,54,0.00,0.00
14,383,8415,443,0.26,0.00,106,57,0.00,54,0,255,0.00,380,0,57,0.00,0.00
15,398,8771,465,0.28,0.00,110,60,0.00,57,0,268,0.00,380,0,60,0.00,0.00
