Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,156,3887,155,0.00,0.00,68,0,0.00,0,470,80,0.00,370,17,0,0,0.13
2,164,4294,178,0.01,0.00,72,0,0.00,0,574,93,0.00,370,18,0,0,0.13
3,172,4702,202,0.02,0.00,76,0,0.00,0,678,107,0.00,370,20,0,0,0.13
4,181,5110,226,0.03,0.00,80,0,0.00,0,782,120,0.00,370,22,0,0,0.13
5,189,5518,250,0.04,0.00,84,0,0.00,0,886,134,0.00,370,24,0,0,0.13
6,198,5926,274,0.05,0.00,89,0,0.00,0,990,147,0.00,370,26,0,0,0.13
7,206,6333,298,0.06,0.00,93,0,0.00,0,1094,161,0.00,370,27,0,0,0.13
8,214,6741,322,0.07,0.00,97,0,0.00,0,1198,174,0.00,370,29,0,0,0.13
9,223,7149,346,0.08,0.00,101,0,0.00,0,1302,188,0.00,370,31,0,0,0.13
10,231,7557,370,0.09,0.00,106,0,0.00,0,1406,201,0.00,370,33,0,0,0.13
11,240,7965,394,0.10,0.00,110,0,0.00,0,1510,215,0.00,370,35,0,0,0.13
12,248,8372,417,0.11,0.00,114,0,0.00,0,1614,228,0.00,370,36,0,0,0.13
13,256,8780,441,0.12,0.00,118,0,0.00,0,1718,242,0.00,370,38,0,0,0.13
14,265,9188,465,0.13,0.00,123,0,0.00,0,1822,255,0.00,370,40,0,0,0.13
15,273,9596,489,0.14,0.00,127,0,0.00,0,1926,269,0.00,370,42,0,0,0.13
