Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,170,3864,145,0.00,0.00,64,18,0.00,0,0,80,0.00,370,0,18,0.00,0.13
2,182,4199,169,0.02,0.00,67,21,0.00,0,0,93,0.00,370,0,21,0.00,0.13
3,194,4534,193,0.04,0.00,70,24,0.00,0,0,107,0.00,370,0,24,0.00,0.13
4,207,4869,217,0.06,0.00,73,27,0.00,0,0,120,0.00,370,0,27,0.00,0.13
5,219,5204,242,0.08,0.00,76,30,0.00,0,0,134,0.00,370,0,30,0.00,0.13
6,232,5539,266,0.10,0.00,79,33,0.00,0,0,147,0.00,370,0,33,0.00,0.13
7,244,5874,290,0.12,0.00,82,36,0.00,0,0,160,0.00,370,0,36,0.00,0.13
8,256,6209,315,0.14,0.00,85,39,0.00,0,0,174,0.00,370,0,39,0.00,0.13
9,269,6544,339,0.16,0.00,88,42,0.00,0,0,187,0.00,370,0,42,0.00,0.13
10,281,6879,363,0.18,0.00,91,45,0.00,0,0,201,0.00,370,0,45,0.00,0.13
11,293,7214,387,0.20,0.00,94,48,0.00,0,0,214,0.00,370,0,48,0.00,0.13
12,306,7549,411,0.22,0.00,97,51,0.00,0,0,228,0.00,370,0,51,0.00,0.13
13,318,7884,436,0.24,0.00,100,54,0.00,0,0,241,0.00,370,0,54,0.00,0.13
14,330,8219,460,0.26,0.00,103,57,0.00,0,0,255,0.00,370,0,57,0.00,0.13
15,342,8554,484,0.28,0.00,106,60,0.00,0,0,268,0.00,370,0,60,0.00,0.13
