Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,162,3635,130,0.00,0.00,52,0,0.00,15,0,80,0.00,370,0,0,0.00,0.00
2,173,3952,153,0.02,0.00,54,0,0.00,18,0,93,0.00,370,0,0,0.00,0.00
3,185,4270,176,0.04,0.00,57,0,0.00,21,0,107,0.00,370,0,0,0.00,0.00
4,197,4587,199,0.06,0.00,60,0,0.00,24,0,120,0.00,370,0,0,0.00,0.00
5,209,4905,222,0.08,0.00,63,0,0.00,27,0,134,0.00,370,0,0,0.00,0.00
6,221,5222,245,0.10,0.00,66,0,0.00,30,0,147,0.00,370,0,0,0.00,0.00
7,233,5539,268,0.12,0.00,69,0,0.00,33,0,160,0.00,370,0,0,0.00,0.00
8,245,5857,291,0.14,0.00,72,0,0.00,36,0,174,0.00,370,0,0,0.00,0.00
9,256,6174,314,0.16,0.00,74,0,0.00,39,0,187,0.00,370,0,0,0.00,0.00
10,268,6492,337,0.18,0.00,77,0,0.00,42,0,201,0.00,370,0,0,0.00,0.00
11,280,6809,360,0.20,0.00,80,0,0.00,45,0,214,0.00,370,0,0,0.00,0.00
12,292,7127,383,0.22,0.00,83,0,0.00,48,0,228,0.00,370,0,0,0.00,0.00
13,304,7444,406,0.24,0.00,86,0,0.00,51,0,241,0.00,370,0,0,0.00,0.00
14,315,7762,429,0.26,0.00,88,0,0.00,54,0,255,0.00,370,0,0,0.00,0.00
15,327,8079,452,0.28,0.00,91,0,0.00,57,0,268,0.00,370,0,0,0.00,0.00
