Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,167,3833,145,0.00,0.00,63,0,0.00,12,450,80,0.00,380,16,0,0.00,0.13
2,178,4168,170,0.02,0.00,66,0,0.00,12,547,93,0.00,380,17,0,0.00,0.13
3,190,4503,196,0.04,0.00,69,0,0.00,12,644,107,0.00,380,19,0,0.00,0.13
4,201,4839,221,0.06,0.00,72,0,0.00,12,741,120,0.00,380,20,0,0.00,0.13
5,213,5174,247,0.08,0.00,76,0,0.00,12,838,134,0.00,380,22,0,0.00,0.13
6,224,5510,273,0.10,0.00,79,0,0.00,12,935,147,0.00,380,24,0,0.00,0.13
7,235,5845,298,0.12,0.00,82,0,0.00,12,1032,160,0.00,380,25,0,0.00,0.13
8,247,6180,324,0.14,0.00,86,0,0.00,12,1129,174,0.00,380,27,0,0.00,0.13
9,258,6516,349,0.16,0.00,89,0,0.00,12,1226,187,0.00,380,28,0,0.00,0.13
10,270,6851,375,0.18,0.00,92,0,0.00,12,1323,201,0.00,380,30,0,0.00,0.13
11,281,7186,400,0.20,0.00,95,0,0.00,12,1420,214,0.00,380,31,0,0.00,0.13
12,293,7522,426,0.22,0.00,98,0,0.00,12,1517,228,0.00,380,33,0,0.00,0.13
13,304,7857,451,0.24,0.00,102,0,0.00,12,1614,241,0.00,380,34,0,0.00,0.13
14,316,8192,477,0.26,0.00,105,0,0.00,12,1711,255,0.00,380,36,0,0.00,0.13
15,327,8527,502,0.28,0.00,108,0,0.00,12,1808,268,0.00,380,37,0,0.00,0.13
