Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,178,3555,133,0.00,0.00,55,0,0.00,15,490,80,0.00,360,18,0,0.00,0.00
2,190,3869,157,0.02,0.00,57,0,0.00,18,599,93,0.00,360,19,0,0.00,0.00
3,202,4184,181,0.04,0.00,60,0,0.00,21,708,107,0.00,360,21,0,0.00,0.00
4,214,4499,205,0.06,0.00,63,0,0.00,24,817,120,0.00,360,23,0,0.00,0.00
5,226,4814,229,0.08,0.00,66,0,0.00,27,926,134,0.00,360,25,0,0.00,0.00
6,238,5128,253,0.10,0.00,68,0,0.00,30,1035,147,0.00,360,26,0,0.00,0.00
7,250,5443,277,0.12,0.00,71,0,0.00,33,1144,160,0.00,360,28,0,0.00,0.00
8,262,5758,301,0.14,0.00,74,0,0.00,36,1253,174,0.00,360,30,0,0.00,0.00
9,274,6072,325,0.16,0.00,76,0,0.00,39,1362,187,0.00,360,31,0,0.00,0.00
10,286,6387,349,0.18,0.00,79,0,0.00,42,1471,201,0.00,360,33,0,0.00,0.00
11,298,6702,373,0.20,0.00,82,0,0.00,45,1580,214,0.00,360,35,0,0.00,0.00
12,310,7016,397,0.22,0.00,84,0,0.00,48,1689,227,0.00,360,36,0,0.00,0.00
13,322,7331,421,0.24,0.00,87,0,0.00,51,1798,241,0.00,360,38,0,0.00,0.00
14,334,7646,445,0.26,0.00,90,0,0.00,54,1907,254,0.00,360,40,0,0.00,0.00
15,346,7961,469,0.28,0.00,93,0,0.00,57,2016,268,0.00,360,42,0,0.00,0.00
