Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,160,3650,145,0.00,0.00,60,0,0.00,0,420,80,0.00,380,14,0,0.00,0.00
2,172,4010,170,0.02,0.00,63,0,0.00,0,509,93,0.00,380,15,0,0.00,0.00
3,184,4370,195,0.04,0.00,66,0,0.00,0,598,107,0.00,380,16,0,0.00,0.00
4,196,4730,220,0.06,0.00,69,0,0.00,0,687,120,0.00,380,18,0,0.00,0.00
5,208,5090,245,0.08,0.00,72,0,0.00,0,776,134,0.00,380,19,0,0.00,0.00
6,220,5450,270,0.10,0.00,75,0,0.00,0,865,147,0.00,380,20,0,0.00,0.00
7,232,5810,295,0.12,0.00,78,0,0.00,0,954,160,0.00,380,22,0,0.00,0.00
8,244,6170,320,0.14,0.00,81,0,0.00,0,1043,174,0.00,380,23,0,0.00,0.00
9,256,6530,345,0.16,0.00,84,0,0.00,0,1132,187,0.00,380,24,0,0.00,0.00
10,268,6890,370,0.18,0.00,87,0,0.00,0,1221,201,0.00,380,26,0,0.00,0.00
11,280,7250,395,0.20,0.00,90,0,0.00,0,1310,214,0.00,380,27,0,0.00,0.00
12,292,7610,420,0.22,0.00,93,0,0.00,0,1399,227,0.00,380,28,0,0.00,0.00
13,304,7970,445,0.24,0.00,96,0,0.00,0,1488,241,0.00,380,29,0,0.00,0.00
14,316,8330,470,0.26,0.00,99,0,0.00,0,1577,254,0.00,380,31,0,0.00,0.00
15,328,8690,495,0.28,0.00,102,0,0.00,0,1666,268,0.00,380,32,0,0.00,0.00
