Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,162,3620,138,0.00,0.00,57,0,0.00,0,410,80,0.00,370,16,0,0.00,0.00
2,171,3955,160,0.01,0.00,60,0,0.00,0,536,93,0.00,370,17,0,0.00,0.00
3,181,4290,182,0.02,0.00,63,0,0.00,0,632,107,0.00,370,19,0,0.00,0.00
4,191,4626,204,0.03,0.00,66,0,0.00,0,728,120,0.00,370,20,0,0.00,0.00
5,200,4961,227,0.04,0.00,69,0,0.00,0,824,134,0.00,370,22,0,0.00,0.00
6,210,5297,249,0.05,0.00,72,0,0.00,0,932,147,0.00,370,24,0,0.00,0.00
7,220,5632,271,0.06,0.00,75,0,0.00,0,1034,160,0.00,370,25,0,0.00,0.00
8,229,5967,294,0.07,0.00,78,0,0.00,0,1136,174,0.00,370,27,0,0.00,0.00
9,239,6303,316,0.08,0.00,81,0,0.00,0,1238,187,0.00,370,28,0,0.00,0.00
10,249,6638,338,0.09,0.00,84,0,0.00,0,1340,201,0.00,370,30,0,0.00,0.00
11,258,6973,360,0.10,0.00,87,0,0.00,0,1442,214,0.00,370,31,0,0.00,0.00
12,268,7309,382,0.11,0.00,90,0,0.00,0,1544,228,0.00,370,33,0,0.00,0.00
13,277,7644,405,0.12,0.00,93,0,0.00,0,1646,241,0.00,370,34,0,0.00,0.00
14,287,7979,427,0.13,0.00,96,0,0.00,0,1748,255,0.00,370,36,0,0.00,0.00
15,297,8314,449,0.14,0.00,99,0,0.00,0,1850,268,0.00,370,37,0,0.00,0.00
