Level,Phys. ATK,HP,Phys. Defense,Attack Speed,Critical Rate,HP/5 sec,Armor Pierce,Life Steal,Magic Power,Max Mana,Magic Defense,Cooldown Reduction,Movement Speed,Mana/5 sec,Magic Pierce,Magic Life Steal,Resistance
1,179,3431,134,0.00,0.00,48,0,0.00,12,440,80,0.00,360,15,0,0.00,0.00
2,194,3685,153,0.03,0.00,50,0,0.00,12,533,93,0.00,360,16,0,0.00,0.00
3,210,3939,172,0.06,0.00,52,0,0.00,12,626,107,0.00,360,18,0,0.00,0.00
4,226,4193,191,0.09,0.00,54,0,0.00,12,719,120,0.00,360,19,0,0.00,0.00
5,242,4447,211,0.12,0.00,56,0,0.00,12,812,134,0.00,360,21,0,0.00,0.00
6,258,4701,230,0.15,0.00,58,0,0.00,12,905,147,0.00,360,22,0,0.00,0.00
7,274,4955,249,0.18,0.00,60,0,0.00,12,998,161,0.00,360,24,0,0.00,0.00
8,290,5209,269,0.21,0.00,62,0,0.00,12,1091,175,0.00,360,26,0,0.00,0.00
9,306,5463,288,0.24,0.00,64,0,0.00,12,1184,188,0.00,360,27,0,0.00,0.00
10,322,5717,307,0.27,0.00,66,0,0.00,12,1277,201,0.00,360,28,0,0.00,0.00
11,338,5971,327,0.30,0.00,68,0,0.00,12,1370,215,0.00,360,30,0,0.00,0.00
12,353,6225,346,0.33,0.00,70,0,0.00,12,1463,228,0.00,360,31,0,0.00,0.00
13,369,6479,365,0.36,0.00,72,0,0.00,12,1556,242,0.00,360,33,0,0.00,0.00
14,385,6733,384,0.39,0.00,74,0,0.00,12,1649,255,0.00,360,34,0,0.00,0.00
15,401,6987,404,0.42,0.00,76,0,0.00,12,1742,269,0.00,360,36,0,0.00,0.00
